close_autobuild_menu;Close Automatic Building Menu;Fermer Menu de construction automatique;Schlieen Sie das automatische Gebude-Men;;Cerrar men de construccin automtica;;;;;;;;;x
close_autobuild_menu_desc;Close Automatic Building Menu;Fermer Menu de construction automatique;Schlieen Sie das automatische Gebude-Men;;Cerrar men de construccin automtica;;;;;;;;;x
disable_ab_enable_all_vassal_flag;Disable All vassals;Dsactiver tous les vassaux;Deaktivieren Sie Alle Vasallen;;Desactivar todos los vasallos;;;;;;;;;x
disable_ab_enable_all_vassal_flag_desc;Disables building in all vassal (and vassal of vassal) holdings.;Dsactive la construction dans tous les fonds vassaux (et vassaux de vassaux).;Deaktiviert den Bau in allen Vasallen (und Vasallen von Vasallen) Betriebe.;;Inhabilita la construccin en todos los fondos vasallos (y vasallos de vasallos).;;;;;;;;;x
disable_ab_enable_county_baron_flag;Disable county barons;Dsactiver les barons du comt;Deaktivieren Sie Grafschaftsbarone;;Inhabilitar a los barones del condado;;;;;;;;;x
disable_ab_enable_county_baron_flag_desc;Disables building in holdings of baron vassals residing in your directly held counties.;Dsactive la construction dans les exploitations de vassaux barons rsidant dans vos comts directement dtenus.;Deaktiviert den Bau in Betrieben von Baron-Vasallen mit Wohnsitz in Ihren direkten Landkreisen.;;Inhabilita el edificio en las tenencias de los vasallos del barn que residen en sus condados sostenidos directamente.;;;;;;;;;x
disable_ab_enable_vassal_baron_flag;Disable vassal barons.;Dsactiver les barons vassaux.;Deaktivieren Sie Vasallenbarone.;;Deshabilitar a los barones vassales.;;;;;;;;;x
disable_ab_enable_vassal_baron_flag_desc;Disables building in all baronies held by direct vassals.;Dsactive la construction dans toutes les baronnies tenues par les vassaux directs.;Deaktiviert den Bau in allen Baronien, die von direkten Vasallen gehalten werden.;;Inhabilita la construccin en todas las baronas de los vasallos directos.;;;;;;;;;x
disable_ab_gold_reserve_10000_flag;Remove 10000 gold reservation.;Supprimez 10000 la rserve d'or.;Entfernen 10000 gold reservation.;;Quitar 10000 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_10000_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_1000_flag;Remove 1000 gold reservation.;Supprimez 1000 la rserve d'or.;Entfernen 1000 gold reservation.;;Quitar 1000 reserva de oro.;;;;;;;;;x
