autobuild_finishbuilding.1.desc;Construction of our Bribed Bandit has been completed in [From.Location.GetName].;La construction de Bribed Bandit a t complte dans [From.Location.GetName].;Der Aufbau unserer Bribed Bandit wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Bribed Bandit se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.10.desc;Construction of our Conditioned Caravan has been completed in [From.Location.GetName].;La construction de Conditioned Caravan a t complte dans [From.Location.GetName].;Der Aufbau unserer Conditioned Caravan wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Conditioned Caravan se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.100.desc;Construction of our Hellhound kennel has been completed in [From.Location.GetName].;La construction de Hellhound kennel a t complte dans [From.Location.GetName].;Der Aufbau unserer Hellhound kennel wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Hellhound kennel se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.101.desc;Construction of our Bribed Serving Wench has been completed in [From.Location.GetName].;La construction de Bribed Serving Wench a t complte dans [From.Location.GetName].;Der Aufbau unserer Bribed Serving Wench wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Bribed Serving Wench se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.102.desc;Construction of our Influenced Cook has been completed in [From.Location.GetName].;La construction de Influenced Cook a t complte dans [From.Location.GetName].;Der Aufbau unserer Influenced Cook wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Influenced Cook se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.103.desc;Construction of our Ghouled Inn Keeper has been completed in [From.Location.GetName].;La construction de Ghouled Inn Keeper a t complte dans [From.Location.GetName].;Der Aufbau unserer Ghouled Inn Keeper wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Ghouled Inn Keeper se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.104.desc;Construction of our Controlled Inn has been completed in [From.Location.GetName].;La construction de Controlled Inn a t complte dans [From.Location.GetName].;Der Aufbau unserer Controlled Inn wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Controlled Inn se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.105.desc;Construction of our Conditioned Inn has been completed in [From.Location.GetName].;La construction de Conditioned Inn a t complte dans [From.Location.GetName].;Der Aufbau unserer Conditioned Inn wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Conditioned Inn se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.106.desc;Construction of our Praxis has been completed in [From.Location.GetName].;La construction de Praxis a t complte dans [From.Location.GetName].;Der Aufbau unserer Praxis wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Praxis se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.107.desc;Construction of our Discovered Kinfolk has been completed in [From.Location.GetName].;La construction de Discovered Kinfolk a t complte dans [From.Location.GetName].;Der Aufbau unserer Discovered Kinfolk wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Discovered Kinfolk se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.108.desc;Construction of our Influenced Kinfolk Chief has been completed in [From.Location.GetName].;La construction de Influenced Kinfolk Chief a t complte dans [From.Location.GetName].;Der Aufbau unserer Influenced Kinfolk Chief wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Influenced Kinfolk Chief se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.109.desc;Construction of our Kinfolk Werewolf Cult has been completed in [From.Location.GetName].;La construction de Kinfolk Werewolf Cult a t complte dans [From.Location.GetName].;Der Aufbau unserer Kinfolk Werewolf Cult wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Kinfolk Werewolf Cult se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.11.desc;Construction of our Bribed Castle Guard has been completed in [From.Location.GetName].;La construction de Bribed Castle Guard a t complte dans [From.Location.GetName].;Der Aufbau unserer Bribed Castle Guard wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Bribed Castle Guard se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.110.desc;Construction of our Controlled Kinfolk has been completed in [From.Location.GetName].;La construction de Controlled Kinfolk a t complte dans [From.Location.GetName].;Der Aufbau unserer Controlled Kinfolk wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Controlled Kinfolk se ha completado en [From.Location.GetName].;;;;;;;;;x
