autobuild_finishbuilding.723.desc;Construction of our Chapel has been completed in [From.Location.GetName].;La construction de Chapelle a t complte dans [From.Location.GetName].;Der Aufbau unserer Kapelle wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Capilla se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.724.desc;Construction of our Sick House has been completed in [From.Location.GetName].;La construction de Maison de malades a t complte dans [From.Location.GetName].;Der Aufbau unserer Krankenhaus wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Casa de salud. se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.725.desc;Construction of our Expanded Sick House has been completed in [From.Location.GetName].;La construction de Grande maison de malades a t complte dans [From.Location.GetName].;Der Aufbau unserer Erweitertes Krankenhaus wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Casa de salud extendida. se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.726.desc;Construction of our Separated Wards has been completed in [From.Location.GetName].;La construction de Pavillons spars a t complte dans [From.Location.GetName].;Der Aufbau unserer Getrennte Krankenstationen wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Salas separadas se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.727.desc;Construction of our Extended Wards has been completed in [From.Location.GetName].;La construction de Pavillons agrandis a t complte dans [From.Location.GetName].;Der Aufbau unserer Erweiterte Krankenstationen wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Salas aumentadas se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.728.desc;Construction of our Extensive Hospital Complex has been completed in [From.Location.GetName].;La construction de Complexe hospitalier a t complte dans [From.Location.GetName].;Der Aufbau unserer Ausgedehnte Hospitalanlage wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Complejo hospitalario extendido se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.729.desc;Construction of our Leper Colony has been completed in [From.Location.GetName].;La construction de Lproserie a t complte dans [From.Location.GetName].;Der Aufbau unserer Leprakolonie wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Leprosera. se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.730.desc;Construction of our Library has been completed in [From.Location.GetName].;La construction de Bibliothque a t complte dans [From.Location.GetName].;Der Aufbau unserer Bibliothek wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Biblioteca se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.731.desc;Construction of our Medical Academy has been completed in [From.Location.GetName].;La construction de Acadmie mdicale a t complte dans [From.Location.GetName].;Der Aufbau unserer Medizinische Akademie wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Academia mdica se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.732.desc;Construction of our Observatory has been completed in [From.Location.GetName].;La construction de Observatoire a t complte dans [From.Location.GetName].;Der Aufbau unserer Observatorium wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Observatorio se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.733.desc;Construction of our Pharmacology Laboratory has been completed in [From.Location.GetName].;La construction de Laboratoire de pharmacologie a t complte dans [From.Location.GetName].;Der Aufbau unserer Pharmakologisches Labor wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Laboratorio farmacolgico se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.734.desc;Construction of our Pilgrim's Inn has been completed in [From.Location.GetName].;La construction de Auberge du plerin a t complte dans [From.Location.GetName].;Der Aufbau unserer Pilgerschenke wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Posada del peregrino se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.735.desc;Construction of our Soup Kitchen has been completed in [From.Location.GetName].;La construction de Soupe populaire a t complte dans [From.Location.GetName].;Der Aufbau unserer Suppenkche wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Comedor de beneficencia. se ha completado en [From.Location.GetName].;;;;;;;;;x
autobuild_finishbuilding.736.desc;Construction of our Translation House has been completed in [From.Location.GetName].;La construction de Centre de traduction a t complte dans [From.Location.GetName].;Der Aufbau unserer bersetzerhaus wurde in [From.Location.GetName] abgeschlossen.;;La construccin de nuestro Casa de traduccin se ha completado en [From.Location.GetName].;;;;;;;;;x
