ca__ab_mod_ca_bandits_1;A castle holding is building a Bribed Bandit here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Bandit ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Bandit auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Bandit aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_bandits_2;A castle holding is building a Influenced Bandit Lieutenant here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Bandit Lieutenant ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Bandit Lieutenant auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Bandit Lieutenant aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_bandits_2g;A castle holding is building a Ghouled Bandit Leader here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Bandit Leader ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Bandit Leader auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Bandit Leader aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_bandits_3;A castle holding is building a Controlled Bandit here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Bandit ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Bandit auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Bandit aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_bandits_3c;A castle holding is building a Conditioned Bandit here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Bandit ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Bandit auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Bandit aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_caravans_1;A castle holding is building a Bribed Caravaner here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Caravaner ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Caravaner auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Caravaner aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_caravans_2;A castle holding is building a Influenced Caravan Guard here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Caravan Guard ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Caravan Guard auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Caravan Guard aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_caravans_2g;A castle holding is building a Ghouled Merchant here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Merchant ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Merchant auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Merchant aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_caravans_3;A castle holding is building a Controlled Caravans here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Caravans ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Caravans auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Caravans aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_caravans_3c;A castle holding is building a Conditioned Caravan here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Caravan ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Caravan auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Caravan aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_castle_guard_1;A castle holding is building a Bribed Castle Guard here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Castle Guard ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Castle Guard auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Castle Guard aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_castle_guard_2;A castle holding is building a Influenced Castle Guard Sergeant here and it will take at most 30 days to complete.;Une Chteau holding est construire un Influenced Castle Guard Sergeant ici et il faudra au maximum 30 jours pour tre termin.;Ein Schloss-Halt baut hier ein Influenced Castle Guard Sergeant auf und es dauert hchstens 30 Tage bis zum Ende.;;Un castillo holding est construyendo un Influenced Castle Guard Sergeant aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_castle_guard_2g;A castle holding is building a Ghouled Baron here and it will take at most 7 days to complete.;Une Chteau holding est construire un Ghouled Baron ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ghouled Baron auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Ghouled Baron aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_castle_guard_3;A castle holding is building a Controlled Castle Guard here and it will take at most 356 days to complete.;Une Chteau holding est construire un Controlled Castle Guard ici et il faudra au maximum 356 jours pour tre termin.;Ein Schloss-Halt baut hier ein Controlled Castle Guard auf und es dauert hchstens 356 Tage bis zum Ende.;;Un castillo holding est construyendo un Controlled Castle Guard aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_castle_guard_3c;A castle holding is building a Conditioned Castle Guard here and it will take at most 180 days to complete.;Une Chteau holding est construire un Conditioned Castle Guard ici et il faudra au maximum 180 jours pour tre termin.;Ein Schloss-Halt baut hier ein Conditioned Castle Guard auf und es dauert hchstens 180 Tage bis zum Ende.;;Un castillo holding est construyendo un Conditioned Castle Guard aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_anda_eminence_1;A castle holding is building a Anda Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Anda Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Anda Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Anda Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_anda_nightmarestable_1;A castle holding is building a Anda Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Anda Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Anda Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Anda Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_anda_nightmarestable_2;A castle holding is building a Anda Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Anda Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Anda Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Anda Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ashirra_eminence_1;A castle holding is building a Ashirra Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ashirra Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ashirra Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ashirra Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
