ct__ab_mod_alacir_eminence_1;A city holding is building a alacir_eminence_1 here and it will take at most 1 days to complete.;Une ville holding est construire un alacir_eminence_1 ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein alacir_eminence_1 auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un alacir_eminence_1 aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_batin_eminence_1;A city holding is building a batin_eminence_1 here and it will take at most 1 days to complete.;Une ville holding est construire un batin_eminence_1 ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein batin_eminence_1 auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un batin_eminence_1 aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_abbatoirward_1;A city holding is building a Bribed Drover here and it will take at most 7 days to complete.;Une ville holding est construire un Bribed Drover ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Bribed Drover auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Bribed Drover aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_abbatoirward_2;A city holding is building a Influenced Meat Cutter here and it will take at most 30 days to complete.;Une ville holding est construire un Influenced Meat Cutter ici et il faudra au maximum 30 jours pour tre termin.;Ein Stadt-Halt baut hier ein Influenced Meat Cutter auf und es dauert hchstens 30 Tage bis zum Ende.;;Un ciudad holding est construyendo un Influenced Meat Cutter aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_abbatoirward_2g;A city holding is building a Ghouled Butcher here and it will take at most 7 days to complete.;Une ville holding est construire un Ghouled Butcher ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ghouled Butcher auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ghouled Butcher aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_abbatoirward_3;A city holding is building a Controlled Abbatoir Ward here and it will take at most 356 days to complete.;Une ville holding est construire un Controlled Abbatoir Ward ici et il faudra au maximum 356 jours pour tre termin.;Ein Stadt-Halt baut hier ein Controlled Abbatoir Ward auf und es dauert hchstens 356 Tage bis zum Ende.;;Un ciudad holding est construyendo un Controlled Abbatoir Ward aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_abbatoirward_3c;A city holding is building a Conditioned Butcher's Guild here and it will take at most 180 days to complete.;Une ville holding est construire un Conditioned Butcher's Guild ici et il faudra au maximum 180 jours pour tre termin.;Ein Stadt-Halt baut hier ein Conditioned Butcher's Guild auf und es dauert hchstens 180 Tage bis zum Ende.;;Un ciudad holding est construyendo un Conditioned Butcher's Guild aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_asylum_1;A city holding is building a Bribed Inmate here and it will take at most 7 days to complete.;Une ville holding est construire un Bribed Inmate ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Bribed Inmate auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Bribed Inmate aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_asylum_2;A city holding is building a Influenced Orderly here and it will take at most 30 days to complete.;Une ville holding est construire un Influenced Orderly ici et il faudra au maximum 30 jours pour tre termin.;Ein Stadt-Halt baut hier ein Influenced Orderly auf und es dauert hchstens 30 Tage bis zum Ende.;;Un ciudad holding est construyendo un Influenced Orderly aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_asylum_2g;A city holding is building a Ghouled Superintendent here and it will take at most 7 days to complete.;Une ville holding est construire un Ghouled Superintendent ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ghouled Superintendent auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ghouled Superintendent aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_asylum_3;A city holding is building a Controlled Asylum here and it will take at most 356 days to complete.;Une ville holding est construire un Controlled Asylum ici et il faudra au maximum 356 jours pour tre termin.;Ein Stadt-Halt baut hier ein Controlled Asylum auf und es dauert hchstens 356 Tage bis zum Ende.;;Un ciudad holding est construyendo un Controlled Asylum aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_asylum_3c;A city holding is building a Conditioned Inmates here and it will take at most 180 days to complete.;Une ville holding est construire un Conditioned Inmates ici et il faudra au maximum 180 jours pour tre termin.;Ein Stadt-Halt baut hier ein Conditioned Inmates auf und es dauert hchstens 180 Tage bis zum Ende.;;Un ciudad holding est construyendo un Conditioned Inmates aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_brothel_1;A city holding is building a Bribed Whore here and it will take at most 7 days to complete.;Une ville holding est construire un Bribed Whore ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Bribed Whore auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Bribed Whore aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_brothel_2;A city holding is building a Influenced Pimp here and it will take at most 30 days to complete.;Une ville holding est construire un Influenced Pimp ici et il faudra au maximum 30 jours pour tre termin.;Ein Stadt-Halt baut hier ein Influenced Pimp auf und es dauert hchstens 30 Tage bis zum Ende.;;Un ciudad holding est construyendo un Influenced Pimp aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_brothel_2g;A city holding is building a Ghouled Madam here and it will take at most 7 days to complete.;Une ville holding est construire un Ghouled Madam ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ghouled Madam auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ghouled Madam aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_brothel_3;A city holding is building a Controlled Brothel here and it will take at most 356 days to complete.;Une ville holding est construire un Controlled Brothel ici et il faudra au maximum 356 jours pour tre termin.;Ein Stadt-Halt baut hier ein Controlled Brothel auf und es dauert hchstens 356 Tage bis zum Ende.;;Un ciudad holding est construyendo un Controlled Brothel aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_brothel_3c;A city holding is building a Conditioned Whores here and it will take at most 180 days to complete.;Une ville holding est construire un Conditioned Whores ici et il faudra au maximum 180 jours pour tre termin.;Ein Stadt-Halt baut hier ein Conditioned Whores auf und es dauert hchstens 180 Tage bis zum Ende.;;Un ciudad holding est construyendo un Conditioned Whores aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_civicward_1;A city holding is building a Bribed Bureaucrat here and it will take at most 7 days to complete.;Une ville holding est construire un Bribed Bureaucrat ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Bribed Bureaucrat auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Bribed Bureaucrat aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_civicward_2;A city holding is building a Influenced Politician  here and it will take at most 30 days to complete.;Une ville holding est construire un Influenced Politician  ici et il faudra au maximum 30 jours pour tre termin.;Ein Stadt-Halt baut hier ein Influenced Politician  auf und es dauert hchstens 30 Tage bis zum Ende.;;Un ciudad holding est construyendo un Influenced Politician  aqu y tomar como mximo 30 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_civicward_2g;A city holding is building a Ghouled Mayor here and it will take at most 7 days to complete.;Une ville holding est construire un Ghouled Mayor ici et il faudra au maximum 7 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ghouled Mayor auf und es dauert hchstens 7 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ghouled Mayor aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_civicward_3;A city holding is building a Controlled City Hall here and it will take at most 356 days to complete.;Une ville holding est construire un Controlled City Hall ici et il faudra au maximum 356 jours pour tre termin.;Ein Stadt-Halt baut hier ein Controlled City Hall auf und es dauert hchstens 356 Tage bis zum Ende.;;Un ciudad holding est construyendo un Controlled City Hall aqu y tomar como mximo 356 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_civicward_3c;A city holding is building a Conditioned Civilian Administration here and it will take at most 180 days to complete.;Une ville holding est construire un Conditioned Civilian Administration ici et il faudra au maximum 180 jours pour tre termin.;Ein Stadt-Halt baut hier ein Conditioned Civilian Administration auf und es dauert hchstens 180 Tage bis zum Ende.;;Un ciudad holding est construyendo un Conditioned Civilian Administration aqu y tomar como mximo 180 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_emiinence_8;A city holding is building a Anda Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_1;A city holding is building a Anda Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_2;A city holding is building a Anda Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
