ca_ab_ph_workers_camp;Castle Worker's Camp;Chteau Le Camp Des Travailleurs;Schloss Arbeiterlager;;Campamento De Los Trabajadores Castillo;;;;;;;;;x
ca_ab_ph_workers_camp_desc;Temporary housing for construction workers working on the castle holding.;Logement temporaire pour les travailleurs de la construction travaillant sur le Chteau tenue.;Vorbergehende Unterbringung fr Bauarbeiter arbeiten an der Schloss Holding.;;Alojamiento temporal para los trabajadores de la construccin que trabajan en el castillo explotacin.;;;;;;;;;x
ca_ab_ph_ca_bandits_1;Partially Constructed Bribed Bandit;Partiellement construit Bribed Bandit;Partiell Konstruiert Bribed Bandit;;Parcialmente construida Bribed Bandit;;;;;;;;;x
ca_ab_ph_ca_bandits_1_desc;A Bribed Bandit is under construction here and will be completed in approximately 7 days.;Un Bribed Bandit est en construction ici et sera termin dans environ 7 jours.;Ein Bribed Bandit befindet sich hier im Aufbau und wird in ca. 7 Tagen abgeschlossen sein.;;A Bribed Bandit est en construccin aqu y se completar en aproximadamente 7 das.;;;;;;;;;x
ca_ab_ph_ca_bandits_2;Partially Constructed Influenced Bandit Lieutenant;Partiellement construit Influenced Bandit Lieutenant;Partiell Konstruiert Influenced Bandit Lieutenant;;Parcialmente construida Influenced Bandit Lieutenant;;;;;;;;;x
ca_ab_ph_ca_bandits_2_desc;A Influenced Bandit Lieutenant is under construction here and will be completed in approximately 30 days.;Un Influenced Bandit Lieutenant est en construction ici et sera termin dans environ 30 jours.;Ein Influenced Bandit Lieutenant befindet sich hier im Aufbau und wird in ca. 30 Tagen abgeschlossen sein.;;A Influenced Bandit Lieutenant est en construccin aqu y se completar en aproximadamente 30 das.;;;;;;;;;x
ca_ab_ph_ca_bandits_2g;Partially Constructed Ghouled Bandit Leader;Partiellement construit Ghouled Bandit Leader;Partiell Konstruiert Ghouled Bandit Leader;;Parcialmente construida Ghouled Bandit Leader;;;;;;;;;x
ca_ab_ph_ca_bandits_2g_desc;A Ghouled Bandit Leader is under construction here and will be completed in approximately 7 days.;Un Ghouled Bandit Leader est en construction ici et sera termin dans environ 7 jours.;Ein Ghouled Bandit Leader befindet sich hier im Aufbau und wird in ca. 7 Tagen abgeschlossen sein.;;A Ghouled Bandit Leader est en construccin aqu y se completar en aproximadamente 7 das.;;;;;;;;;x
ca_ab_ph_ca_bandits_3;Partially Constructed Controlled Bandit;Partiellement construit Controlled Bandit;Partiell Konstruiert Controlled Bandit;;Parcialmente construida Controlled Bandit;;;;;;;;;x
ca_ab_ph_ca_bandits_3_desc;A Controlled Bandit is under construction here and will be completed in approximately 356 days.;Un Controlled Bandit est en construction ici et sera termin dans environ 356 jours.;Ein Controlled Bandit befindet sich hier im Aufbau und wird in ca. 356 Tagen abgeschlossen sein.;;A Controlled Bandit est en construccin aqu y se completar en aproximadamente 356 das.;;;;;;;;;x
ca_ab_ph_ca_bandits_3c;Partially Constructed Conditioned Bandit;Partiellement construit Conditioned Bandit;Partiell Konstruiert Conditioned Bandit;;Parcialmente construida Conditioned Bandit;;;;;;;;;x
