tp_ab_ph_workers_camp;Temple Worker's Camp;Temple Le Camp Des Travailleurs;Tempel Arbeiterlager;;Campamento De Los Trabajadores Templo;;;;;;;;;x
tp_ab_ph_workers_camp_desc;Temporary housing for construction workers working on the temple holding.;Logement temporaire pour les travailleurs de la construction travaillant sur le temple tenue.;Vorbergehende Unterbringung fr Bauarbeiter arbeiten an der Tempel Holding.;;Alojamiento temporal para los trabajadores de la construccin que trabajan en el templo explotacin.;;;;;;;;;x
tp_ab_ph_tp_clan_anda_eminence_1;Partially Constructed Anda Recognized Court;Partiellement construit Anda Recognized Court;Partiell Konstruiert Anda Recognized Court;;Parcialmente construida Anda Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_anda_eminence_1_desc;A Anda Recognized Court is under construction here and will be completed in approximately 1 days.;Un Anda Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Anda Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Anda Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_ashirra_eminence_1;Partially Constructed Ashirra Recognized Court;Partiellement construit Ashirra Recognized Court;Partiell Konstruiert Ashirra Recognized Court;;Parcialmente construida Ashirra Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_ashirra_eminence_1_desc;A Ashirra Recognized Court is under construction here and will be completed in approximately 1 days.;Un Ashirra Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Ashirra Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Ashirra Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_assamite_eminence_1;Partially Constructed Assamite Recognized Court;Partiellement construit Assamite Recognized Court;Partiell Konstruiert Assamite Recognized Court;;Parcialmente construida Assamite Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_assamite_eminence_1_desc;A Assamite Recognized Court is under construction here and will be completed in approximately 1 days.;Un Assamite Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Assamite Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Assamite Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_baali_eminence_1;Partially Constructed Baali Recognized Court;Partiellement construit Baali Recognized Court;Partiell Konstruiert Baali Recognized Court;;Parcialmente construida Baali Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_baali_eminence_1_desc;A Baali Recognized Court is under construction here and will be completed in approximately 1 days.;Un Baali Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Baali Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Baali Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_brujah_eminence_1;Partially Constructed Brujah Recognized Court;Partiellement construit Brujah Recognized Court;Partiell Konstruiert Brujah Recognized Court;;Parcialmente construida Brujah Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_brujah_eminence_1_desc;A Brujah Recognized Court is under construction here and will be completed in approximately 1 days.;Un Brujah Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Brujah Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Brujah Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_cainite_eminence_1;Partially Constructed Cainite Recognized Court;Partiellement construit Cainite Recognized Court;Partiell Konstruiert Cainite Recognized Court;;Parcialmente construida Cainite Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_cainite_eminence_1_desc;A Cainite Recognized Court is under construction here and will be completed in approximately 1 days.;Un Cainite Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Cainite Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Cainite Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_caitiff_eminence_1;Partially Constructed Caitiff Recognized Court;Partiellement construit Caitiff Recognized Court;Partiell Konstruiert Caitiff Recognized Court;;Parcialmente construida Caitiff Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_caitiff_eminence_1_desc;A Caitiff Recognized Court is under construction here and will be completed in approximately 1 days.;Un Caitiff Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Caitiff Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Caitiff Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_cappadocian_eminence_1;Partially Constructed Cappadocian Recognized Court;Partiellement construit Cappadocian Recognized Court;Partiell Konstruiert Cappadocian Recognized Court;;Parcialmente construida Cappadocian Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_cappadocian_eminence_1_desc;A Cappadocian Recognized Court is under construction here and will be completed in approximately 1 days.;Un Cappadocian Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Cappadocian Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Cappadocian Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_einherjar_eminence_1;Partially Constructed Einherjar Recognized Court;Partiellement construit Einherjar Recognized Court;Partiell Konstruiert Einherjar Recognized Court;;Parcialmente construida Einherjar Recognized Court;;;;;;;;;x
tp_ab_ph_tp_clan_einherjar_eminence_1_desc;A Einherjar Recognized Court is under construction here and will be completed in approximately 1 days.;Un Einherjar Recognized Court est en construction ici et sera termin dans environ 1 jours.;Ein Einherjar Recognized Court befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A Einherjar Recognized Court est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
tp_ab_ph_tp_clan_followerofset_eminence_1;Partially Constructed Followerofset Recognized Court;Partiellement construit Followerofset Recognized Court;Partiell Konstruiert Followerofset Recognized Court;;Parcialmente construida Followerofset Recognized Court;;;;;;;;;x
