autobuild_startbuilding.1.desc;Construction of Bribed Bandit has been ordered in [This.Location.GetName].;La construction de Bribed Bandit a t commande dans [This.Location.GetName].;Aufbau von Bribed Bandit wurde in [This.Location.GetName] geordnet.;;La construccin de Bribed Bandit ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.10.desc;Construction of Conditioned Caravan has been ordered in [This.Location.GetName].;La construction de Conditioned Caravan a t commande dans [This.Location.GetName].;Aufbau von Conditioned Caravan wurde in [This.Location.GetName] geordnet.;;La construccin de Conditioned Caravan ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.100.desc;Construction of Hellhound kennel has been ordered in [This.Location.GetName].;La construction de Hellhound kennel a t commande dans [This.Location.GetName].;Aufbau von Hellhound kennel wurde in [This.Location.GetName] geordnet.;;La construccin de Hellhound kennel ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.101.desc;Construction of Bribed Serving Wench has been ordered in [This.Location.GetName].;La construction de Bribed Serving Wench a t commande dans [This.Location.GetName].;Aufbau von Bribed Serving Wench wurde in [This.Location.GetName] geordnet.;;La construccin de Bribed Serving Wench ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.102.desc;Construction of Influenced Cook has been ordered in [This.Location.GetName].;La construction de Influenced Cook a t commande dans [This.Location.GetName].;Aufbau von Influenced Cook wurde in [This.Location.GetName] geordnet.;;La construccin de Influenced Cook ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.103.desc;Construction of Ghouled Inn Keeper has been ordered in [This.Location.GetName].;La construction de Ghouled Inn Keeper a t commande dans [This.Location.GetName].;Aufbau von Ghouled Inn Keeper wurde in [This.Location.GetName] geordnet.;;La construccin de Ghouled Inn Keeper ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.104.desc;Construction of Controlled Inn has been ordered in [This.Location.GetName].;La construction de Controlled Inn a t commande dans [This.Location.GetName].;Aufbau von Controlled Inn wurde in [This.Location.GetName] geordnet.;;La construccin de Controlled Inn ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.105.desc;Construction of Conditioned Inn has been ordered in [This.Location.GetName].;La construction de Conditioned Inn a t commande dans [This.Location.GetName].;Aufbau von Conditioned Inn wurde in [This.Location.GetName] geordnet.;;La construccin de Conditioned Inn ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.106.desc;Construction of Praxis has been ordered in [This.Location.GetName].;La construction de Praxis a t commande dans [This.Location.GetName].;Aufbau von Praxis wurde in [This.Location.GetName] geordnet.;;La construccin de Praxis ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.107.desc;Construction of Discovered Kinfolk has been ordered in [This.Location.GetName].;La construction de Discovered Kinfolk a t commande dans [This.Location.GetName].;Aufbau von Discovered Kinfolk wurde in [This.Location.GetName] geordnet.;;La construccin de Discovered Kinfolk ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
