autobuild_startbuilding.692.desc;Construction of Guard Barracks has been ordered in [This.Location.GetName].;La construction de Quartiers de la garde a t commande dans [This.Location.GetName].;Aufbau von Kasernen der Wache wurde in [This.Location.GetName] geordnet.;;La construccin de Barracones de la Guardia ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.693.desc;Construction of Swordsmith has been ordered in [This.Location.GetName].;La construction de Forge a t commande dans [This.Location.GetName].;Aufbau von Schwertschmied wurde in [This.Location.GetName] geordnet.;;La construccin de Herrero ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.694.desc;Construction of Armory has been ordered in [This.Location.GetName].;La construction de Armurerie a t commande dans [This.Location.GetName].;Aufbau von Rstkammer wurde in [This.Location.GetName] geordnet.;;La construccin de Armera ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.695.desc;Construction of Bowyer has been ordered in [This.Location.GetName].;La construction de Archerie a t commande dans [This.Location.GetName].;Aufbau von Bogenbauer wurde in [This.Location.GetName] geordnet.;;La construccin de Fabricante de Arcos ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.696.desc;Construction of Target Range has been ordered in [This.Location.GetName].;La construction de Champ de tir a t commande dans [This.Location.GetName].;Aufbau von Zielbungsplatz wurde in [This.Location.GetName] geordnet.;;La construccin de Campo de Tiro ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.697.desc;Construction of Crossbow Workshop has been ordered in [This.Location.GetName].;La construction de Atelier d'arbaltes a t commande dans [This.Location.GetName].;Aufbau von Armbrust-Werkstatt wurde in [This.Location.GetName] geordnet.;;La construccin de Taller de Ballestas ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.698.desc;Construction of Wine Cellar has been ordered in [This.Location.GetName].;La construction de Cave a t commande dans [This.Location.GetName].;Aufbau von Weinkeller wurde in [This.Location.GetName] geordnet.;;La construccin de Bodega ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.699.desc;Construction of Catacombs has been ordered in [This.Location.GetName].;La construction de Hypoge a t commande dans [This.Location.GetName].;Aufbau von Katakomben wurde in [This.Location.GetName] geordnet.;;La construccin de Catacumbas ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.700.desc;Construction of Dungeon Complex has been ordered in [This.Location.GetName].;La construction de Cachots a t commande dans [This.Location.GetName].;Aufbau von Kerkerkomplex wurde in [This.Location.GetName] geordnet.;;La construccin de Complejo de Calabozos ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.701.desc;Construction of Palace Garden has been ordered in [This.Location.GetName].;La construction de Jardins du palais a t commande dans [This.Location.GetName].;Aufbau von Palastgarten wurde in [This.Location.GetName] geordnet.;;La construccin de Jardn de Palacio ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
