autobuild_startbuilding.723.desc;Construction of Chapel has been ordered in [This.Location.GetName].;La construction de Chapelle a t commande dans [This.Location.GetName].;Aufbau von Kapelle wurde in [This.Location.GetName] geordnet.;;La construccin de Capilla ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.724.desc;Construction of Sick House has been ordered in [This.Location.GetName].;La construction de Maison de malades a t commande dans [This.Location.GetName].;Aufbau von Krankenhaus wurde in [This.Location.GetName] geordnet.;;La construccin de Casa de salud. ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.725.desc;Construction of Expanded Sick House has been ordered in [This.Location.GetName].;La construction de Grande maison de malades a t commande dans [This.Location.GetName].;Aufbau von Erweitertes Krankenhaus wurde in [This.Location.GetName] geordnet.;;La construccin de Casa de salud extendida. ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.726.desc;Construction of Separated Wards has been ordered in [This.Location.GetName].;La construction de Pavillons spars a t commande dans [This.Location.GetName].;Aufbau von Getrennte Krankenstationen wurde in [This.Location.GetName] geordnet.;;La construccin de Salas separadas ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.727.desc;Construction of Extended Wards has been ordered in [This.Location.GetName].;La construction de Pavillons agrandis a t commande dans [This.Location.GetName].;Aufbau von Erweiterte Krankenstationen wurde in [This.Location.GetName] geordnet.;;La construccin de Salas aumentadas ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.728.desc;Construction of Extensive Hospital Complex has been ordered in [This.Location.GetName].;La construction de Complexe hospitalier a t commande dans [This.Location.GetName].;Aufbau von Ausgedehnte Hospitalanlage wurde in [This.Location.GetName] geordnet.;;La construccin de Complejo hospitalario extendido ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.729.desc;Construction of Leper Colony has been ordered in [This.Location.GetName].;La construction de Lproserie a t commande dans [This.Location.GetName].;Aufbau von Leprakolonie wurde in [This.Location.GetName] geordnet.;;La construccin de Leprosera. ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.730.desc;Construction of Library has been ordered in [This.Location.GetName].;La construction de Bibliothque a t commande dans [This.Location.GetName].;Aufbau von Bibliothek wurde in [This.Location.GetName] geordnet.;;La construccin de Biblioteca ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.731.desc;Construction of Medical Academy has been ordered in [This.Location.GetName].;La construction de Acadmie mdicale a t commande dans [This.Location.GetName].;Aufbau von Medizinische Akademie wurde in [This.Location.GetName] geordnet.;;La construccin de Academia mdica ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.732.desc;Construction of Observatory has been ordered in [This.Location.GetName].;La construction de Observatoire a t commande dans [This.Location.GetName].;Aufbau von Observatorium wurde in [This.Location.GetName] geordnet.;;La construccin de Observatorio ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.733.desc;Construction of Pharmacology Laboratory has been ordered in [This.Location.GetName].;La construction de Laboratoire de pharmacologie a t commande dans [This.Location.GetName].;Aufbau von Pharmakologisches Labor wurde in [This.Location.GetName] geordnet.;;La construccin de Laboratorio farmacolgico ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.734.desc;Construction of Pilgrim's Inn has been ordered in [This.Location.GetName].;La construction de Auberge du plerin a t commande dans [This.Location.GetName].;Aufbau von Pilgerschenke wurde in [This.Location.GetName] geordnet.;;La construccin de Posada del peregrino ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.735.desc;Construction of Soup Kitchen has been ordered in [This.Location.GetName].;La construction de Soupe populaire a t commande dans [This.Location.GetName].;Aufbau von Suppenkche wurde in [This.Location.GetName] geordnet.;;La construccin de Comedor de beneficencia. ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
autobuild_startbuilding.736.desc;Construction of Translation House has been ordered in [This.Location.GetName].;La construction de Centre de traduction a t commande dans [This.Location.GetName].;Aufbau von bersetzerhaus wurde in [This.Location.GetName] geordnet.;;La construccin de Casa de traduccin ha sido ordenada en [This.Location.GetName].;;;;;;;;;x
