ca_farms_1;Bribed Serf;;;;;;;;;;;;;x
ca_farms_1_desc;Serfs can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ca_farms_2;Influenced Kulak;;;;;;;;;;;;;x
ca_farms_2_desc;Through a combination of money, blackmail and supernatural abilities: an important Kulak, his underlings and his access to the countryside has come under your control.;;;;;;;;;;;;;x
ca_farms_3;Controlled Farms;;;;;;;;;;;;;x
ca_farms_3_desc;A large number of farms have come under your control.;;;;;;;;;;;;;x
ca_farms_2g;Ghouled Publican;;;;;;;;;;;;;x
ca_farms_2g_desc;You have ghouled a Publican who runs an important pub in the countryside.;;;;;;;;;;;;;x
ca_farms_3c;Conditioned Farmers;;;;;;;;;;;;;x
ca_farms_3c_desc;You have used your discipline of domination to condition all the various serfs in the countryside.;;;;;;;;;;;;;x
ca_forests_1;Bribed Woodsman;;;;;;;;;;;;;x
ca_forests_1_desc;Woodsman can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ca_forests_2;Influenced Lumberjack;;;;;;;;;;;;;x
ca_forests_2_desc;Through a combination of money, blackmail and supernatural abilities: an important Lumberjack, his underlings and his access to the forest has come under your control.;;;;;;;;;;;;;x
ca_forests_3;Controlled Forests;;;;;;;;;;;;;x
ca_forests_3_desc;A large number of lumber operations have come under your control.;;;;;;;;;;;;;x
ca_forests_2g;Ghouled Sawboss;;;;;;;;;;;;;x
ca_forests_2g_desc;You have ghouled an important Sawboss who holds a lot of sway in the surrounding forest.;;;;;;;;;;;;;x
ca_forests_3c;Conditioned Lumberjacks;;;;;;;;;;;;;x
ca_forests_3c_desc;You have used your discipline of domination to condition all the various lumberjacks in the surrounding forest.;;;;;;;;;;;;;x
ca_mines_1;Bribed Miner;;;;;;;;;;;;;x
ca_mines_1_desc;Miners can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ca_mines_2;Influenced Mine Foreman;;;;;;;;;;;;;x
ca_mines_2_desc;Through a combination of money, blackmail and supernatural abilities: an important Mine Foreman, his underlings and his access to the mines has come under your control.;;;;;;;;;;;;;x
ca_mines_3;Controlled Mines;;;;;;;;;;;;;x
ca_mines_3_desc;A large number of mines have come under your control.;;;;;;;;;;;;;x
ca_mines_2g;Ghouled Mine Boss;;;;;;;;;;;;;x
ca_mines_2g_desc;You have ghouled an important Mine Boss who holds a lot of sway in the surrounding mines.;;;;;;;;;;;;;x
ca_mines_3c;Conditioned Miners;;;;;;;;;;;;;x
ca_mines_3c_desc;You have used your discipline of domination to condition all the various miners in the surrounding mines.;;;;;;;;;;;;;x
ca_caravans_1;Bribed Caravaner;;;;;;;;;;;;;x
ca_caravans_1_desc;Caravaners can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ca_caravans_2;Influenced Caravan Guard;;;;;;;;;;;;;x
ca_caravans_2_desc;Through a combination of money, blackmail and supernatural abilities: an important Caravan Guard, his underlings and his access to the caravans has come under your control.;;;;;;;;;;;;;x
ca_caravans_3;Controlled Caravans;;;;;;;;;;;;;x
ca_caravans_3_desc;A large number of caravans have come under your control.;;;;;;;;;;;;;x
ca_caravans_2g;Ghouled Merchant;;;;;;;;;;;;;x
ca_caravans_2g_desc;You have ghouled an important Merchant who holds a lot of sway with the caravans in the area.;;;;;;;;;;;;;x
ca_caravans_3c;Conditioned Caravan;;;;;;;;;;;;;x
ca_caravans_3c_desc;You have used your discipline of domination to condition all of a caravan outfit based in the area.;;;;;;;;;;;;;x
ca_fleshlab_1;Basic Flesh Lab;;;;;;;;;;;;;x
ca_fleshlab_1_desc;A basic Flesh Lab with just enough resources to create a handful of war szlachta.;;;;;;;;;;;;;x
ca_fleshlab_2;Small Flesh Lab;;;;;;;;;;;;;x
ca_fleshlab_2_desc;A small Flesh Lab that has adequate resources to create a number of war szlachta.;;;;;;;;;;;;;x
ca_fleshlab_3;Large Flesh Lab;;;;;;;;;;;;;x
ca_fleshlab_3_desc;A large Flesh Lab that has trained assistants and resources to produce many war szlachta.;;;;;;;;;;;;;x
ca_fleshlab_2g;Ghouled Assistant;;;;;;;;;;;;;x
ca_fleshlab_2g_desc;You have ghouled an assistant to provide better oversight and improve szlachta creation.;;;;;;;;;;;;;x
ca_fleshlab_3c;Masterful Flesh Lab;;;;;;;;;;;;;x
ca_fleshlab_3c_desc;Your mastery of Vicissitude and experience producing szlachta led you to create new equipment and techniques.  This allows you to produce szlachta at an astounding pace.;;;;;;;;;;;;;x
