mass_ghouls;Ghouls;;;;;;;;;;;;;x
mass_ghouls_offensive;Ghouls Offensive;;;;;;;;;;;;;x
mass_ghouls_defensive;Ghouls Defensive;;;;;;;;;;;;;x
mass_ghouls_morale;Ghouls Morale;;;;;;;;;;;;;x
mass_ghouls_modifier;Combat Modifier boost to Ghouls: $PERC$;;;;;;;;;;;;;x
mass_vampires;Vampires;;;;;;;;;;;;;x
mass_vampires_offensive;Vampires Offensive;;;;;;;;;;;;;x
mass_vampires_defensive;Vampires Defensive;;;;;;;;;;;;;x
mass_vampires_morale;Vampires Morale;;;;;;;;;;;;;x
mass_vampires_modifier;Combat Modifier boost to Vampires: $PERC$;;;;;;;;;;;;;x
mass_gargoyles;Gargoyles;;;;;;;;;;;;;x
mass_gargoyles_offensive;Gargoyles Offensive;;;;;;;;;;;;;x
mass_gargoyles_defensive;Gargoyles Defensive;;;;;;;;;;;;;x
mass_gargoyles_morale;Gargoyles Morale;;;;;;;;;;;;;x
mass_gargoyles_modifier;Combat Modifier boost to Gargoyles: $PERC$;;;;;;;;;;;;;x
mass_szlachta;Szlachta;;;;;;;;;;;;;x
mass_szlachta_offensive;Szlachta Offensive;;;;;;;;;;;;;x
mass_szlachta_defensive;Szlachta Defensive;;;;;;;;;;;;;x
mass_szlachta_morale;Szlachta Morale;;;;;;;;;;;;;x
mass_szlachta_modifier;Combat Modifier boost to Szlachta: $PERC$;;;;;;;;;;;;;x
vozhd_unit;Vozhd;;;;;;;;;;;;;x
vozhd_unit_offensive;Vozhd Offensive;;;;;;;;;;;;;x
vozhd_unit_defensive;Vozhd Defensive;;;;;;;;;;;;;x
vozhd_unit_morale;Vozhd Morale;;;;;;;;;;;;;x
vozhd_unit_modifier;Combat Modifier boost to Vozhd: $PERC$;;;;;;;;;;;;;x
mass_werewolves;Werewolves;;;;;;;;;;;;;x
mass_werewolves_offensive;Werewolves Offensive;;;;;;;;;;;;;x
mass_werewolves_defensive;Werewolves Defensive;;;;;;;;;;;;;x
mass_werewolves_morale;Werewolves Morale;;;;;;;;;;;;;x
mass_werewolves_modifier;Combat Modifier boost to Werewolves: $PERC$;;;;;;;;;;;;;x
mass_mages;Mages;;;;;;;;;;;;;x
mass_mages_offensive;Mages Offensive;;;;;;;;;;;;;x
mass_mages_defensive;Mages Defensive;;;;;;;;;;;;;x
mass_mages_morale;Mages Morale;;;;;;;;;;;;;x
mass_mages_modifier;Combat Modifier boost to Mages: $PERC$;;;;;;;;;;;;;x
mass_fomori;Fomori;;;;;;;;;;;;;x
mass_fomori_offensive;Fomori Offensive;;;;;;;;;;;;;x
mass_fomori_defensive;Fomori Defensive;;;;;;;;;;;;;x
mass_fomori_morale;Fomori Morale;;;;;;;;;;;;;x
mass_fomori_modifier;Combat Modifier boost to Fomori: $PERC$;;;;;;;;;;;;;x
mass_fae;Fae;;;;;;;;;;;;;x
mass_fae_offensive;Fae Offensive;;;;;;;;;;;;;x
mass_fae_defensive;Fae Defensive;;;;;;;;;;;;;x
mass_fae_morale;FaeMorale;;;;;;;;;;;;;x
mass_fae_modifier;Combat Modifier boost to Faeori: $PERC$;;;;;;;;;;;;;x
mass_kinfolk;Kinfolk;;;;;;;;;;;;;x
mass_kinfolk_offensive;Kinfolk Offensive;;;;;;;;;;;;;x
mass_kinfolk_defensive;Kinfolk Defensive;;;;;;;;;;;;;x
mass_kinfolk_morale;KinfolkMorale;;;;;;;;;;;;;x
mass_kinfolk_modifier;Combat Modifier boost to Kinfolkori: $PERC$;;;;;;;;;;;;;x
mass_wraiths;Wraiths;;;;;;;;;;;;;x
mass_wraiths_offensive;Wraiths Offensive;;;;;;;;;;;;;x
mass_wraiths_defensive;Wraiths Defensive;;;;;;;;;;;;;x
mass_wraiths_morale;WraithsMorale;;;;;;;;;;;;;x
mass_wraiths_modifier;Combat Modifier boost to Wraithsori: $PERC$;;;;;;;;;;;;;x
RETTYPE_VAMPIRES;Vampire Coterie;;;;;;;;;;;;;x
RETTYPE_GHOULS;Ghoul Company;;;;;;;;;;;;;x
RETTYPE_SZLACHTA;Szlachta Horde;;;;;;;;;;;;;x
RETTYPE_VOZHD;Vozhd War Band;;;;;;;;;;;;;x
RETTYPE_GARGOYLES;Gargoyle Flock;;;;;;;;;;;;;x
RETTYPE_WEREWOLVES;Werewolf Pack;;;;;;;;;;;;;x
RETTYPE_FAE;Fae Wild Hunt;;;;;;;;;;;;;x
RETTYPE_MAGES;Mages Coven;;;;;;;;;;;;;x
RETTYPE_KINFOLK;Kinfolk Band;;;;;;;;;;;;;x
RETTYPE_FOMORI;Fomori Brood;;;;;;;;;;;;;x
RETTYPE_WRAITHS;Wraiths Haunting;;;;;;;;;;;;;x
