EVTDESC_POD_GHOUL_GIFT_DOMITOR_GOLD;Your loyal ghoul [From.GetTitledFirstName] gives you a gift of gold.;;;;;;;;;;;;;x
EVTOPTA_POD_GHOUL_GIFT_DOMITOR_GOLD;Gold is good.;;;;;;;;;;;;;x
EVTOPTB_POD_GHOUL_GIFT_DOMITOR_GOLD;Such a paltry sum!;;;;;;;;;;;;;x
EVTDESC_POD_GHOUL_GIFT_DOMITOR_ITEM;Your loyal ghoul [From.GetTitledFirstName] has presented you with a rare artifact to show [From.GetPossPronoun] devotion.;;;;;;;;;;;;;x
EVTOPTA_POD_GHOUL_GIFT_DOMITOR_ITEM;Wonderful!;;;;;;;;;;;;;x
EVTOPTB_POD_GHOUL_GIFT_DOMITOR_ITEM;Bah! What is theirs is mine.;;;;;;;;;;;;;x
EVTDESC_POD_GHOUL_GIFT_DOMITOR_TECH;Your loyal ghoul [From.GetTitledFirstName] has offered to increase your influence provided you can fund their efforts.;;;;;;;;;;;;;x
EVTOPTA_POD_GHOUL_GIFT_DOMITOR_TECH;Influence Supernatural Society.;;;;;;;;;;;;;x
EVTOPTB_POD_GHOUL_GIFT_DOMITOR_TECH;Influence Mortal Society.;;;;;;;;;;;;;x
EVTOPTC_POD_GHOUL_GIFT_DOMITOR_TECH;Influence Jyhad.;;;;;;;;;;;;;x
EVTOPTD_POD_GHOUL_GIFT_DOMITOR_TECH;There is no need at this time.;;;;;;;;;;;;;x
EVTDESC_POD_GHOUL_JEALOUS;One of your ghouls has become very jealous of another to the point of open rivalry.;;;;;;;;;;;;;x
EVTOPTA_POD_GHOUL_JEALOUS;My attention is important.;;;;;;;;;;;;;x
EVTOPTB_POD_GHOUL_JEALOUS;May the strongest survive.;;;;;;;;;;;;;x
EVTDESC_POD_GHOUL_KIDNAPPED;Your ghoul [From.GetTitledFirstName] has been kidnapped and imprisoned!;;;;;;;;;;;;;x
EVTOPTA_POD_GHOUL_KIDNAPPED;Who dares to kidnap my servants?!?;;;;;;;;;;;;;x
EVTOPTB_POD_GHOUL_KIDNAPPED;Like I care.  [From.GetSheHeCap] can rot!;;;;;;;;;;;;;x
