awoken_from_torpor;Awoken from Torpor;;;;;;;;;;;;;x
opinion_blood_bond_to_domitor;Blood Bond;;;;;;;;;;;;x
opinion_blood_bond_to_domitor_desc;A blood bond to the Domitor.  Rarely broken, this bond of kindred vitae makes the thrall adore their Domitor.;;;;;;;;;;;;x
opinion_blood_bond_to_domitor_ghoul;Blood Bond;;;;;;;;;;;;x
opinion_blood_bond_to_domitor_ghoul_desc;A blood bond to the Domitor.  Rarely broken, this bond of kindred vitae makes the thrall adore their Domitor.;;;;;;;;;;;;x
opinion_rejected_by_domitor;Rejected by Domitor.;;;;;;;;;;;;x
opinion_rejected_by_domitor_desc;This ghoul no longer receives vitae from their Domitor.  This slightly weakens the blood bond, but does not break it.;;;;;;;;;;;;x
opinion_entranced;Entranced;;;;;;;;;;;;;x
opinion_entranced_desc;This individual has become entranced by the majestic presence of a vampire.;;;;;;;;;;;;;x
bloodpotency_1;Blood Potency I;;;;;;;;;;;;;x
bloodpotency_2;Blood Potency II;;;;;;;;;;;;;x
bloodpotency_3;Blood Potency III;;;;;;;;;;;;;x
bloodpotency_4;Blood Potency IV;;;;;;;;;;;;;x
bloodpotency_5;Blood Potency V;;;;;;;;;;;;;x
bloodpotency_1_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_2_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_3_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_4_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_5_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_6;Blood Potency VI;;;;;;;;;;;;;x
bloodpotency_7;Blood Potency VII;;;;;;;;;;;;;x
bloodpotency_8;Blood Potency VIII;;;;;;;;;;;;;x
bloodpotency_9;Blood Potency IX;;;;;;;;;;;;;x
bloodpotency_10;Blood Potency X;;;;;;;;;;;;;x
bloodpotency_6_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_7_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_8_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_9_desc;The innate, mystical power concentrated in dead veins.  It grows over time or through diablerie;;;;;;;;;;;;;x
bloodpotency_10_desc;The innate, mystical power concentrated in dead veins.;;;;;;;;;;;;;x
vampgeneration1;1st Vampire Genaration;;;;;;;;;;;;;x
vampgeneration1_desc;Caine! The first vampire!;;;;;;;;;;;;;x
vampgeneration2;2nd Vampire Genaration;;;;;;;;;;;;;x
vampgeneration2_desc;Did you survive Great Flood?;;;;;;;;;;;;;x
vampgeneration3;3rd;;;;;;;;;;;;;x
vampgeneration3_desc;Antediluvian, fouder of clan.;;;;;;;;;;;;;x
vampgeneration4;4th;;;;;;;;;;;;;x
vampgeneration4_desc;Methuselah. One of the most powerfull known vampires.;;;;;;;;;;;;;x
vampgeneration5;5th;;;;;;;;;;;;;x
vampgeneration5_desc;Methuselah. One of the most powerfull known vampires.;;;;;;;;;;;;;x
vampgeneration6;6th;;;;;;;;;;;;;x
vampgeneration6_desc;Powerfull vampire blood.;;;;;;;;;;;;;x
vampgeneration7;7th;;;;;;;;;;;;;x
vampgeneration7_desc;Powerfull vampire blood.;;;;;;;;;;;;;x
vampgeneration8;8th;;;;;;;;;;;;;x
vampgeneration8_desc;One of the most common vampire genaration.;;;;;;;;;;;;;x
vampgeneration9;9th;;;;;;;;;;;;;x
vampgeneration9_desc;One of the most common vampire genaration.;;;;;;;;;;;;;x
vampgeneration10;10th;;;;;;;;;;;;;x
vampgeneration10_desc;Young, not so powerfull blood.;;;;;;;;;;;;;x
vampgeneration11;11th;;;;;;;;;;;;;x
vampgeneration11_desc;Young, not so powerfull blood.;;;;;;;;;;;;;x
vampgeneration12;12th;;;;;;;;;;;;;x
vampgeneration12_desc;Very young, weak vampire blood.;;;;;;;;;;;;;x
vampgeneration13;13th;;;;;;;;;;;;;x
