lupus_born;Lupus Born;;;;;;;;;;;;;x
lupus_born_desc;Lupus are a breed of Garou who was born as and raised as a wolf, which is their natural form.;;;;;;;;;;;;;x
homid_born;Homid Born;;;;;;;;;;;;;x
homid_born_desc;Homid are a breed of Garou born as and raised by humans, which is their natural form.;;;;;;;;;;;;;x
metis;Metis;;;;;;;;;;;;;x
metis_desc;Metis is a rare breed of Garou. They are the offspring of two Garou who broke the Litany for love or lust. They are born in the Crinos form and that is their natural form - however, they are deformed and sterile.;;;;;;;;;;;;;x
lupus;Lupus;;;;;;;;;;;;;x
lupus_desc;Lupus is one of the five forms a Garou can shift into that fully resemble wolves and have the full range of wolves' characteristics and abilities, as well as their own intelligence and Gifts.;;;;;;;;;;;;;x
homid;Homid;;;;;;;;;;;;;x
homid_desc;Homid is a form that Garou shape-shift into in which they resembled human beings, able to mimic human characteristics, and utilize abilities only possessed by human beings;;;;;;;;;;;;;x
crinos;Crinos;;;;;;;;;;;;;x
crinos_desc;Crinos is the war-form of the Garou. Fusing the deadliest aspects of human and beast into one body whose sole purpose is to kill and shred all enemies into pieces.;;;;;;;;;;;;;x
glabro;Glabro;;;;;;;;;;;;;x
glabro_desc;Glabro is the near-man or "wolfman" form of the Garou. In the Glabro form, a werewolf can somewhat pass for human while still drawing on a portion of their feral power.;;;;;;;;;;;;;x
hispo;Hispo;;;;;;;;;;;;;x
hispo_desc;Hispo is the near-wolf form of the Garou. It can be described as a massive wolf of nightmare, a throwback to prehistoric days when the dire wolves were the size of ponies. It's a form designed to hunt and kill.;;;;;;;;;;;;;x
shift_lupus_decision;Shapeshift Lupus;;;;;;;;;;;;;x
shift_lupus_decision_desc;Transform into the wolf like "lupus" form.  While not good for interacting with humans, it is useful for hiding and intrigue.;;;;;;;;;;;;;x
shift_crinos_decision;Shapehift Crinos;;;;;;;;;;;;;x
shift_crinos_decision_desc;Transform into the "Crinos" war form of the Garou.  This greatly increases your personal combat ability, at the expence of scaring everyone around you.;;;;;;;;;;;;;x
shift_homid_decision;Shapeshift Homid;;;;;;;;;;;;;x
shift_homid_decision_desc;Transform intp the "Crinos" war form of the Garou.  This greatly increases your personal combat ability, at the expence of scaring everyone around you.;;;;;;;;;;;;;x
shift_glabro_decision;Shapeshift Glabro;;;;;;;;;;;;;x
shift_glabro_descision_desc;Transform into the near-man or "wolfman" form of the Garou.;;;;;;;;;;;;;x
shift_hispo_decision;Shapeshift Hispo;;;;;;;;;;;;;x
shift_hispo_decision_desc;Transform into the near-wolf form of the Garou.;;;;;;;;;;;;;x
werewolf_rage_heal_wounded_decision;Heal Wound;;;;;;;;;;;;;x
werewolf_rage_heal_wounded_decision_desc;Use your lupine rage to heal your wound.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_severely_injured_decision;Heal Severe Injury;;;;;;;;;;;;;x
werewolf_rage_heal_severely_injured_decision_desc;Use your lupine rage to heal your severe injury.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_maiming_decision;Heal Maiming;;;;;;;;;;;;;x
werewolf_rage_heal_maiming_decision_desc;Use your lupine rage to heal your maimed body.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_blinded_decision;Heal Eyes;;;;;;;;;;;;;x
werewolf_rage_heal_blinded_decision_desc;Use your lupine rage to heal your blinded eyes.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_eunuch_decision;Heal Genetalia;;;;;;;;;;;;;x
werewolf_rage_heal_eunuch_decision_desc;Use your lupine rage to heal your genetalia.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_disfigured_decision;Heal Disfigurement;;;;;;;;;;;;;x
werewolf_rage_heal_disfigured_decision_desc;Use your lupine rage to heal your disfigured face.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_one_eyed_decision;Heal Eye;;;;;;;;;;;;;x
werewolf_rage_heal_one_eyed_decision_desc;Use your lupine rage to heal your damaged eye.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_one_handed_decision;Heal Hand;;;;;;;;;;;;;x
werewolf_rage_heal_one_handed_decision_desc;Use your lupine rage to heal your hand.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_one_legged_decision;Heal Leg;;;;;;;;;;;;;x
werewolf_rage_heal_one_legged_decision_desc;Use your lupine rage to heal your leg.  This will increase your rage.;;;;;;;;;;;;;x
werewolf_rage_heal_mangled_decision;Heal Mangling;;;;;;;;;;;;;x
werewolf_rage_heal_mangled_decision_desc;Use your lupine rage to heal your mangled body.  This will increase your rage.;;;;;;;;;;;;;x
rage;Rage;;;;;;;;;;;;;x
severe_rage;Severe Rage;;;;;;;;;;;;;x
dreadful_rage;Dreadful Rage;;;;;;;;;;;;;x
