ct_pop_1;Praxis;;;;;;;;;;;;;x
ct_pop_10k;Population: 10k;;;;;;;;;;;;;x
ct_pop_20k;Population: 20k;;;;;;;;;;;;;x
ct_pop_50k;Population: 50k;;;;;;;;;;;;;x
ct_pop_100k;Population: 100k;;;;;;;;;;;;;x
ct_pop_150k;Population: 150k;;;;;;;;;;;;;x
ct_pop_200k;Population: 200k;;;;;;;;;;;;;x
ct_pop_250k;Population: 250k;;;;;;;;;;;;;x
ct_pop_500k;Population: 500k;;;;;;;;;;;;;x
ct_pop_1m;Population: 1m;;;;;;;;;;;;;x
ct_pop_2m;Population: 2m;;;;;;;;;;;;;x
ct_pop_1_desc;This city has less than 10k population.;;;;;;;;;;;;;x
ct_pop_10k_desc;This city has 10k population.;;;;;;;;;;;;;x
ct_pop_20k_desc;This city has 20k population.;;;;;;;;;;;;;x
ct_pop_50k_desc;This city has 50k population.;;;;;;;;;;;;;x
ct_pop_100k_desc;This city has 100k population.;;;;;;;;;;;;;x
ct_pop_150k_desc;This city has 150k population.;;;;;;;;;;;;;x
ct_pop_200k_desc;This city has 200k population.;;;;;;;;;;;;;x
ct_pop_250k_desc;This city has 250k population.;;;;;;;;;;;;;x
ct_pop_500k_desc;This city has 500k population.;;;;;;;;;;;;;x
ct_pop_1m_desc;This city has 1m population.;;;;;;;;;;;;;x
ct_pop_2m_desc;This city has 2m population.;;;;;;;;;;;;;x
