#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eternalconsul;Eternal Consul;;;;;;;;;;;;;
eternalconsul_desc;This vampire restored the Rome of the Night. All fear him, respect him… or want his throne.;;;;;;;;;;;;;
restore_eternal_rome;Restore Eternal Rome;;;;;;;;;;;;;
restore_eternal_rome_desc;Rome was once the center of the undead world and the seat of unrivaled Ventrue power. It could be so once again…;;;;;;;;;;;;;
EVTTOOLTIPPOD_VAMPIRE_1230_OBJECTIVES1;Once again… Rome !;;;;;;;;;;;;;
EVTNAMEPOD_VAMPIRE_1230_OBJECTIVES1;The War of Princes is over.;;;;;;;;;;;;;
EVTDESCPOD_VAMPIRE_1230_OBJECTIVES1;As the night dawns on Europe, some things will never change. The Lasombra will plot, the Nosferatu will lurk in the shadows, the Toreador will fawn on pretty baubles… Mortals will carry on theirs insignificants lives, unaware of the much larger game played when the sky darken. This will never change. New ideas will spring, new religions, new theories, a whole new world maybe. But vampires don’t care. They never change. But, this night, every undead sense that something has changed for the first time in centuries. As they look, like mortals do, to the holiest of city, they can’t deny that a new era has begun, with a simple change. Ventrue are not mere Kings of the undead. Ventrue are Emperors. Now and forever.;;;;;;;;;;;;;
EVTOPTAPOD_VAMPIRE_1230_OBJECTIVES1;The natural order of Undeath has been restored.;;;;;;;;;;;;;
EVTOPTBPOD_VAMPIRE_1230_OBJECTIVES1;All will learn, once again, to respect the name of Titus Venturus Camillus.;;;;;;;;;;;;;
EVTNAMEPOD_VAMPIRE_1230_OBJECTIVES2;The War of Princes is over.;;;;;;;;;;;;;
EVTDESCPOD_VAMPIRE_1230_OBJECTIVES2;As the night dawns on Europe, some things will never change. The Lasombra will plot, the Nosferatu will lurk in the shadows, the Toreador will fawn on pretty baubles… Mortals will carry on theirs insignificants lives, unaware of the much larger game played when the sky darken. This will never change. New ideas will spring, new religions, new theories, a whole new world maybe. But vampires don’t care. They never change. But, this night, every undead sense that something has changed for the first time in centuries. As they look, like mortals do, to the holiest of city, they can’t deny that a new era has begun, with a simple change. Ventrue are not mere Kings of the undead. Ventrue are Emperors. Now and forever.;;;;;;;;;;;;;
EVTOPTAPOD_VAMPIRE_1230_OBJECTIVES2;No ! NOT AGAIN !;;;;;;;;;;;;;
EVTOPTBPOD_VAMPIRE_1230_OBJECTIVES2;It was merely a matter of time.;;;;;;;;;;;;;
EVTOPTCPOD_VAMPIRE_1230_OBJECTIVES2;They win this battle. Not the war.;;;;;;;;;;;;;
end_civil_war;End the Civil War;;;;;;;;;;;;;
end_civil_war_desc;Christians Lasombras have declared war upon all of the faithful Cainites. There is no choice but to pacify them once and for all.;;;;;;;;;;;;;
EVTTOOLTIPPOD1230OBJ.3;This is done.;;;;;;;;;;;;;
EVTNAMEPOD1230OBJ.3;The Midnight Crescent;;;;;;;;;;;;;
EVTDESCPOD1230OBJ.3;From the walls of Constantinople to the Castel d’Ombro, the Faqih surveys his empire and wonders ‘Are my people safe?’. As the last battle concludes in a victory, the Faqih thinks ‘How do I avoid more bloodshed?’. When all of the Ashirra look to him for guidance, protection and counsel, the Faqih is not proud, he is humbled. As he dons his new regalia, worthy of an Eternal Caliph, the Faqih thinks of the future, of the best ways to make sure that the faithful cainites will be safe, forever. And when the last of the kuffar Lasombra is brought to his feet, the Faqih asks ‘Will you choose the Crescent… or the Sun?’.;;;;;;;;;;;;;
EVTOPTAPOD1230OBJ.3;Is this a beginning or an end?;;;;;;;;;;;;;
EVTOPTAPOD1230OBJ.4;The Crescent.;;;;;;;;;;;;;
EVTOPTBPOD1230OBJ.4;Neither ! This war isn't over, Ashirra !;;;;;;;;;;;;;
EVTOPTAOBJ.5;Is this the end of the Lasombra clan?;;;;;;;;;;;;;
primecouncilor;Prime Councilor;;;;;;;;;;;;;
primecouncilor_desc;Chosen by Tremere himself, this vampire is the voice of the ancient magus.;;;;;;;;;;;;;
tremere_victory;The Will of Tremere.;;;;;;;;;;;;;
tremere_victory_desc;The Tremere clan is young and with many enemies. But someone strong enough could assure the clan's future…;;;;;;;;;;;;;
EVTTOOLTIPPOD1230OBJ.6;Your place in the night is finally secure.;;;;;;;;;;;;;
EVTNAMEPOD1230OBJ.6;The Will of Tremere;;;;;;;;;;;;;
EVTDESCPOD1230OBJ.6;As you kneel before him, you can feel the envy of all the clan. Tremere do not wake for just anyone. You are not just anyone, anymore. Before you, the clan was threatened. Its place in the night was tenuous at best. Now? The fiends are a sad joke, alone in their crumbling castles. Those devious infernalists, the soul stealers are destroyed. All of the European kindred thank you for your crushing of their last holdouts. The Tremere clan is well on its way to its rightful destiny of becoming masters of the night. As you stand before him, Tremere simply says 'You did well.' For the first time, Tremere will have a voice for his will, someone he trusts enough to be lord of the Inner Circle. You.;;;;;;;;;;;;;
EVTOPTAPOD1230OBJ.6;I am at the top of the Pyramid.;;;;;;;;;;;;;
EVTOPTAobj.7;Usurpers will always be usurpers.;;;;;;;;;;;;;
EVTOPTBobj.7;Saulot… Is this a test?;;;;;;;;;;;;;
EVTOPTCobj.7;No longer the Usurpers, it seems.;;;;;;;;;;;;;
obj3_custom;Each Lasombra ruler will have a chance to convert to Ashirra.;;;;;;;;;;;;;
serpentsallure;Serpent's Allure;;;;;;;;;;;;;
serpentsallure_desc;Set's perfect beauty surrounds this character.;;;;;;;;;;;;;
setite_victory;Spread the Glory of Set;;;;;;;;;;;;;
setite_victory_desc;Mighty Set deserves far more followers than He has now. In fact, he deserves all of Europe !;;;;;;;;;;;;;
EVTTOOLTIPPOD1230OBJ.8;Set should be pleased…;;;;;;;;;;;;;
EVTNAMEPOD1230OBJ.8;The Serpent's Embrace;;;;;;;;;;;;;
EVTDESCPOD1230OBJ.8;‘Once, you were blind to the beauty of Set. You called yourselves Cainites, for a false progenitor tricked you into worshipping him. Now, you know better, only a God should be worshipped. A merciful God, because He will forgive your past transgressions against Him, but also a vengeful God for this night forward, the last Cainites will be branded enemies of Set and converted, or brought before Ra’s unflinching eye. There will be no respite until all of Europe praises His glorious name, then, and only then, will He bless us with His return! … Come, children, let us pray in the temple for the coming of this glorious time. Then, enjoy the rewards of your wise choice, for the night is still young…’;;;;;;;;;;;;;
EVTOPTAobj.8;There are no Cainites, only Setites.;;;;;;;;;;;;;
