#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tinia;Tinia Ventrue;;;;;;;;;;;;;
tinia_desc;The Etruscan 'goddess' was a seeker of sensations and innovations at any cost. Mistress of the Italian peninsula, she left it one night without a trace.;;;;;;;;;;;;;
hardestadt;Hardestadt Ventrue;;;;;;;;;;;;;
hardestadt_desc;The German Ventrue have supplanted their Roman cousins as masters of the clan. Regal and loyalists to a fault, they are the model of any true Ventrue.;;;;;;;;;;;;;
mithras;Mithras Ventrue;;;;;;;;;;;;;
mithras_desc;The Once and Forever King of England is perhaps one of the most influential Ventrue of History. His lineage carry great strenght and expectations.;;;;;;;;;;;;;
alexander;Alexander Ventrue;;;;;;;;;;;;;
alexander_desc;Often mistaken for a Toreador, the Prince of Paris is a lover of arts and beauty... but also prone to jealousy and indolence.;;;;;;;;;;;;;
antonian;Antonian Ventrue;;;;;;;;;;;;;
antonian_desc;The Architect of Constantinople, member of the Dream, was a vampire of overwhelming passion.;;;;;;;;;;;;;
antonius;Antonius Ventrue;;;;;;;;;;;;;
antonius_desc;The Boy-King of Cairo has dreams of Godhood and little patience for competing challengers to his claim.;;;;;;;;;;;;;
camilla;Camilla Ventrue;;;;;;;;;;;;;
camilla_desc;The Eternal Consul was once master of Rome, uniter of vampire kind and destroyer of Troile and unholy Carthage. His lineage sweels with rightful pride.;;;;;;;;;;;;;
eigermann;Eigermann Ventrue;;;;;;;;;;;;;
eigermann_desc;One of the few Ventrue to always refuse Roman's rule, his lineage are the true ancestors of Germany's vampire.;;;;;;;;;;;;;
artemis;Artemis Ventrue;;;;;;;;;;;;;
artemis_desc;The beloved of Ventrue was a fierce battle maiden and lover of philosophy. She was the first to charge hated Carthage, and the first to fall.;;;;;;;;;;;;;
bindusara;Bindusara Ventrue;;;;;;;;;;;;;
bindusara_desc;An oddity among the Ventrue, Bindusara is a scholar with very poor understandings of politics, making his lineage challenged to hold their own as kings of the night.;;;;;;;;;;;;;
veddartha;Veddartha Ventrue;;;;;;;;;;;;;
veddartha_desc;His very existence is a mystery and everything regarding this vampire and his potential lineage is a secret well kept.;;;;;;;;;;;;;
arakur;Arakur Ventrue;;;;;;;;;;;;;
arakur_desc;Cruel and bestial, the Arakur lineage seems also prone to bad decisions at a whim, reflecting their foolish ancestor.;;;;;;;;;;;;;
medon;Medon Ventrue;;;;;;;;;;;;;
medon_desc;The God King of the Aegean was blinded by his hubris and was the first of his age to be killed by mere kine.;;;;;;;;;;;;;
nefermeriisis;Nefer-Meri-Isis Ventrue;;;;;;;;;;;;;
nefermeriisis_desc;Defiant and rebel, this lineage is prideful on its connection to the legendary woman who fought Set himself to a standstill.;;;;;;;;;;;;;
baytmushakis;Bay't Mushakis Brujah;;;;;;;;;;;;;
baytmushakis_desc;The Children of Carthage pushed back the Ventrue after their great atrocity. They still protect the Middle East and beyond from their ancient foe.;;;;;;;;;;;;;
hannibal;Hannibal Brujah;;;;;;;;;;;;;
hannibal_desc;The lineage of the great foe of Rome is made of great strategists but often oblivious to political intrigues.;;;;;;;;;;;;;
losario;Losario Brujah;;;;;;;;;;;;;
losario_desc;An oddity of their clan, this Italian lineage is made of astute, wise and political Brujah, often seen as princes or kingmakers.;;;;;;;;;;;;;
leeland;Leeland Brujah;;;;;;;;;;;;;
leeland_desc;The centerpiece of any Anarch movement, the Leeland lineage will never relent until all Tyrants have been dealt with permanently.;;;;;;;;;;;;;
menele;Menele Brujah;;;;;;;;;;;;;
menele_desc;The philosopher King was a paragon of Carthage. His dynasty respects wisdom and cunning, but takes a very hard stance on any hints of betrayal.;;;;;;;;;;;;;
dominic;Dominic Brujah;;;;;;;;;;;;;
dominic_desc;The Mercenary Lord of Carthage burns with hatred for all the cowardly Ventrue who destroyed his beloved utopia.;;;;;;;;;;;;;
gersakkun;Gersakkun Brujah;;;;;;;;;;;;;
gersakkun_desc;A mysterious part of Troile's legacy, the children of Gersakkun are respected for their ancient link to the phoenician cradle of the clan.;;;;;;;;;;;;;
truebrujah;True Brujah;;;;;;;;;;;;;
truebrujah_desc;The true Childrens of Brujah are recluse scholars, watching the pitiful 'main clan' angering himself into oblivion.;;;;;;;;;;;;;
guillaume;Guillaume Brujah;;;;;;;;;;;;;
guillaume_desc;The master of Burgundy is a shrewd and efficient administrator, and a seeker of Golconda.;;;;;;;;;;;;;
azif;Azif Brujah;;;;;;;;;;;;;
azif_desc;The conniving Jerusalemite known as Azif is a known diablerist and his lineage carry this shame in their veins.;;;;;;;;;;;;;
nephilim;Nephilim Toreador;;;;;;;;;;;;;
nephilim_desc;The heirs of Michael are the legacy of the greatest utopia the cainite world has ever seen : Constantinople.;;;;;;;;;;;;;
salianna;Salianna Toreador;;;;;;;;;;;;;
salianna_desc;The Queen of the Courts of Love is the powerful matriarch of a grand lineage of political minded Toreador.;;;;;;;;;;;;;
callisti;Callisti Toreador;;;;;;;;;;;;;
callisti_desc;Artists, thieves, envious, the lineage of the mysterious Spanish Methuselah is many things and more.;;;;;;;;;;;;;
nicholas;Nicholas Toreador;;;;;;;;;;;;;
nicholas_desc;Lost in history, Nicholas has failed to make any impressions on the cainite world. His lineage has a mountain to climb.;;;;;;;;;;;;;
andrew;Andrew Toreador;;;;;;;;;;;;;
andrew_desc;The 'archangel' of Normandy is a charismatic individual rumored to have dealings with the Cainite Heresy.;;;;;;;;;;;;;
helena;Helena Toreador;;;;;;;;;;;;;
helena_desc;Beautiful doesn't even start to describe the lineage of the Troyan. Even a glance from them seems like a blessing from the heavens.;;;;;;;;;;;;;
baldr;Baldr Toreador;;;;;;;;;;;;;
baldr_desc;The northern Toreador are still passionate individuals, seeking beauty in the far reaches of Europe.;;;;;;;;;;;;;
lubbock;Lubbock Toreador;;;;;;;;;;;;;
lubbock_desc;A fairly minor lineage of the Toreador clan, the Lubbock always seek to prove their artistic worth to their peers.;;;;;;;;;;;;;
vollgirre;Vollgirre Toreador;;;;;;;;;;;;;
vollgirre_desc;Cruel and spiteful, the French Baron was also blind to the intrigues of those he saw as his lessers.;;;;;;;;;;;;;
apollo;Apollo Toreador;;;;;;;;;;;;;
apollo_desc;Even by Toreador standards, Apollo cainites are quick to love and quicker to depress over lost love.;;;;;;;;;;;;;
rayeenalfen;Rayeen al-Fen Toreador;;;;;;;;;;;;;
rayeenalfen_desc;Scribes and scholars of the eastern world, this lineage faces a schism between elders and younglings.;;;;;;;;;;;;;
nissiku;Nissiku Malkavian;;;;;;;;;;;;;
nissiku_desc;The clever Prince, first childe of Malkav, is a mysterious being determined to bring down the mirage that is sanity.;;;;;;;;;;;;;
baytmajnoon;Bay't Majnoon Malkavian;;;;;;;;;;;;;
baytmajnoon_desc;Scholars and oracles of the Middle-East, these malkavians enjoy a more respected reputation than their western cousins.;;;;;;;;;;;;;
lamdiel;Lamdiel Malkavian;;;;;;;;;;;;;
lamdiel_desc;Not much is known about Lamdiel, except his fascination about appearing as visions into the dreams and nightmars of his lineage.;;;;;;;;;;;;;
eater;Eater Malkavian;;;;;;;;;;;;;
eater_desc;Rumored to feed on 'True Names', the Eater is a dark legend among malkavians, and his lineage is mostly silent about their progenitor.;;;;;;;;;;;;;
brahina;Brahina Malkavian;;;;;;;;;;;;;
brahina_desc;The lineage of Indian priests is surprinsigly sane, and was the catalyst for many majors events in the clan history.;;;;;;;;;;;;;
delaurent;De Laurent Malkavian;;;;;;;;;;;;;
delaurent_desc;Relentless scholar, De Laurent has made namy friends, and many more foes during his travels around the world.;;;;;;;;;;;;;
midian;Midian Malkavian;;;;;;;;;;;;;
