SI_heavy_masquerade_decision;Institute Heavy Masquerade;;;;;;;;;;;;;
SI_heavy_masquerade_decision_desc;Choose to institute heavy rules to enforce the masquerade.;;;;;;;;;;;;;
SI_normal_measures_decision;Institute Heavy Masquerade;;;;;;;;;;;;;
SI_normal_measures_decision_desc;Choose to institute heavy rules to enforce the masquerade.;;;;;;;;;;;;;
anarch_revolt_figure_trait;Original Anarch;;;;;;;;;;;;;
anarch_revolt_figure_trait_desc;This Anarch is a major figure from the first Anarch Revolt.;;;;;;;;;;;;;
sabbat_founder_trait;Sabbat Founder;;;;;;;;;;;;;
sabbat_founder_trait_desc;This is a founder of the Sabbat.;;;;;;;;;;;;;
camarilla_founder_trait;Camarilla Founder;;;;;;;;;;;;;
camarilla_founder_trait_desc;This is a founder of the Camarilla.;;;;;;;;;;;;;
ANARCH_UPRISING;Major Anarch Uprising;;;;;;;;;;;;;
shadow_inquisition_modifier;Shadow Inquisition Activity;;;;;;;;;;;;;
shadow_inquisition_modifier_desc;There is Shadow Inquisition activity in this province.;;;;;;;;;;;;;
anarch_problem_1_modifier;Anarch Problems;;;;;;;;;;;;;
anarch_problem_1_modifier_desc;There are Anarchs causing problems in this province.;;;;;;;;;;;;;
anarch_problem_2_modifier;Anarch Problems;;;;;;;;;;;;;
anarch_problem_2_modifier_desc;There are Anarchs causing problems in this province.;;;;;;;;;;;;;
anarch_problem_3_modifier;Anarch Problems;;;;;;;;;;;;;
anarch_problem_3_modifier_desc;There are Anarchs causing problems in this province.;;;;;;;;;;;;;
anarch_revolt_modifier;Anarch Revolt;;;;;;;;;;;;;
anarch_revolt_modifier_desc;There are Anarchs revolting in this province.;;;;;;;;;;;;;
CB_NAME_ANARCH_ADVENTURER;Major Anarch Uprising;;;;;;;;;;;;;
WAR_NAME_ANARCH_ADVENTURER;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Uprising;;;;;;;;;;;;;
SI_REVOLT;Shadow Inquisition Uprising;;;;;;;;;;;;;
CB_NAME_SI_UPRISING;Shadow Inquisition Uprising;;;;;;;;;;;;;
WAR_NAME_SI_UPRISING;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Uprising;;;;;;;;;;;;;
ANARCH_REVOLT;Anarch Uprising;;;;;;;;;;;;;
CB_NAME_ANARCH_UPRISING;Anarch Uprising;;;;;;;;;;;;;
WAR_NAME_ANARCH_UPRISING;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Uprising;;;;;;;;;;;;;
DEATH_BY_SHADOWINQ;killed by $KILLER$.;;;;;;;;;;;;;
DEATH_BY_SHADOWINQ_UNKNOWN;killed by the Shadow Inquisition;;;;;;;;;;;;;
EVTTITLE_POD_INQUISITION_NARRATIVE_1;Rise of the Shadow Inquisition;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_NARRATIVE_1;Rumors of vampires disappearing and mortals hunting vampires have reached your ears.  While vampires have always disappeared and rumors are always spread these rumors just won't die.  As preposterous as it may sound is it possible the kine are organizing around their faith and hunting the hunters?  Is something changing?;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_NARRATIVE_1;Interesting...;;;;;;;;;;;;;x
EVTOPTB_POD_INQUISITION_NARRATIVE_1;Why do I care?;;;;;;;;;;;;;x
EVTTITLE_POD_INQUISITION_NARRATIVE_2;Threat of the Shadow Inquisition;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_NARRATIVE_2;The whispers proved true.  Mortals dubbed as the 'Shadow Inquisition' actively hunt creatures their God deems as evil.  Doubtless, they are little risk to a ruler such as yourself but some kindred now speak of taking active steps to limit the dangers they could pose.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_NARRATIVE_2;This could be useful.;;;;;;;;;;;;;x
EVTOPTB_POD_INQUISITION_NARRATIVE_2;Mortals? Dangerous?  Bah!;;;;;;;;;;;;;x
EVTTITLE_POD_INQUISITION_NARRATIVE_3;Peril of the Shadow Inquisition;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_NARRATIVE_3;Foolish vampires have continued to take actions that draw the attention of mortals and give strength to Shadow Inquisition.  Neonates whisper in frightened tones of possible hunters and rulers no longer scoff whenever a report is brought to them.  While most kindred do not feel threatened, the young are beginning to call for action - loudly.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_NARRATIVE_3;If it is directed...;;;;;;;;;;;;;x
EVTOPTB_POD_INQUISITION_NARRATIVE_3;They must be stopped!;;;;;;;;;;;;;x
EVTTITLE_POD_INQUISITION_NARRATIVE_4;Ebb of the Shadow Inquisition;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_NARRATIVE_4;The measures taken against revealing our influence to the kine have borne fruit.  The kindred have adjusted to new habits - or met the final death.  The Shadow Inquisition is definitely declining in its power and reach.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_NARRATIVE_4;All things pass.;;;;;;;;;;;;;x
EVTOPTB_POD_INQUISITION_NARRATIVE_4;We are not safe until it is over.;;;;;;;;;;;;;x
EVTTITLE_POD_INQUISITION_NARRATIVE_5;Demise of the Shadow Inquisition;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_NARRATIVE_5;Years pass, decades pass, centuries pass - yet the kindred still rule the night.  The dangers of the Shadow Inquisition are gone and while the memory of it may fade quickly, the lessons learned may endure.  The mortals grow in number and while they are individually weak and live short lives, we can no longer ignore the danger they may pose.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_NARRATIVE_5;I care not.;;;;;;;;;;;;;x
EVTOPTB_POD_INQUISITION_NARRATIVE_5;The Masquerade must be enforced.;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_TEST_1;[From.global_shadow_inquisition_level.GetValue] inquisition global level.\n[From.global_shadow_inquisition_counter.GetValue] inquisition counter level.\n[From.global_shadow_inquisition_toll.GetValue] deaths.\n[From.global_shadow_inquisition_province_kill.GetValue] checks.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_TEST_1;Death stalks the night!;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_KILL_1;The Shadow Inquisition's touch is felt everywhere - even your court is not immune.  [dead_dude.GetTitledFirstName] has fallen victim to their attentions.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_KILL_1;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_KILL_2.1;You set down a sequence of harsh laws to enforce a strict masquerade within your demesne.  You suppress obvious mortal influence in your realm - including your own.  It will also take up some of your time to keep this up and your harsh measures will grate on some.  However, the Inquisition will have trouble finding any targets in your demesne.;;;;;;;;;;;;;x
EVTDESC_POD_INQUISITION_KILL_2.2;You decree that the time of a strict masquerade has passed.;;;;;;;;;;;;;x
EVTOPTA_POD_INQUISITION_KILL_2;Ok.;;;;;;;;;;;;;x
EVTDESC_POD_ANARCHREVOLT_PLAYER1;Years pass, decades pass, centuries pass - yet the kindred still rule the night.  The dangers of the Shadow Inquisition are gone and while the memory of it may fade quickly, the lessons learned may endure.  The mortals grow in number and while they are individually weak and live short lives, we can no longer ignore the danger they may pose.;;;;;;;;;;;;;x
EVTOPTA_POD_ANARCHREVOLT_PLAYER1;I care not.;;;;;;;;;;;;;x
EVTOPTB_POD_ANARCHREVOLT_PLAYER1;The Masquerade must be enforced.;;;;;;;;;;;;;x
