ct_civicward_1;Bribed Bureaucrat;;;;;;;;;;;;;x
ct_civicward_1_desc;Bureaucrats can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ct_civicward_2;Influenced Politician ;;;;;;;;;;;;;x
ct_civicward_2_desc;Through a combination of money, blackmail and supernatural abilities: a politician, his underlings and connections has come under your sway.;;;;;;;;;;;;;x
ct_civicward_3;Controlled City Hall;;;;;;;;;;;;;x
ct_civicward_3_desc;City hall has come under your control.;;;;;;;;;;;;;x
ct_civicward_2g;Ghouled Mayor;;;;;;;;;;;;;x
ct_civicward_2g_desc;You have ghouled the Mayor of the city.;;;;;;;;;;;;;x
ct_civicward_3c;Conditioned Civilian Administration;;;;;;;;;;;;;x
ct_civicward_3c_desc;You have used your discipline of domination to condition all the staff and members of the city administration.;;;;;;;;;;;;;x
ct_university_1;Bribed Student;;;;;;;;;;;;;x
ct_university_1_desc;Students can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ct_university_2;Influenced Professor ;;;;;;;;;;;;;x
ct_university_2_desc;Through a combination of money, blackmail and supernatural abilities: a major professor, his students and his influence on ideas has come under your control.;;;;;;;;;;;;;x
ct_university_3;Controlled University;;;;;;;;;;;;;x
ct_university_3_desc;A major university in the city has come under your control.;;;;;;;;;;;;;x
ct_university_2g;Ghouled Dean;;;;;;;;;;;;;x
ct_university_2g_desc;You have ghouled the dean of a city university.;;;;;;;;;;;;;x
ct_university_3c;Conditioned Student Body;;;;;;;;;;;;;x
ct_university_3c_desc;You have used your discipline of domination to condition all the staff and members of a city university.;;;;;;;;;;;;;x
ct_hospital_1;Bribed Orderly;;;;;;;;;;;;;x
ct_hospital_1_desc;Orderlies can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ct_hospital_2;Influenced Nurse;;;;;;;;;;;;;x
ct_hospital_2_desc;Through a combination of money, blackmail and supernatural abilities: a nurse, his orderlies and his access to the hospital has come under your control.;;;;;;;;;;;;;x
ct_hospital_3;Controlled Hospital;;;;;;;;;;;;;x
ct_hospital_3_desc;A major hospital in the city has come under your control.;;;;;;;;;;;;;x
ct_hospital_2g;Ghouled Doctor;;;;;;;;;;;;;x
ct_hospital_2g_desc;You have ghouled an important doctor of a city hospital.;;;;;;;;;;;;;x
ct_hospital_3c;Conditioned Hospital Staff;;;;;;;;;;;;;x
ct_hospital_3c_desc;You have used your discipline of domination to condition all the staff and members of a city hospital.;;;;;;;;;;;;;x
ct_orphanage_1;Bribed Orphan;;;;;;;;;;;;;x
ct_orphanage_1_desc;Orphans can be paid for other services: information, minor crimes, blood, etc...;;;;;;;;;;;;;x
ct_orphanage_2;Influenced Bully;;;;;;;;;;;;;x
