estate_government;Estate;;;;;;;;;;;;;x
estate_government_desc;The First Estate is the feudal form of government created by the Invictus.;;;;;;;;;;;;;x
al-amin_government;Al-Amin;;;;;;;;;;;;;x
al-amin_government_desc;The Iqta adapted for the undead.;;;;;;;;;;;;;x
testament_government;Testament;;;;;;;;;;;;;x
testament_government_desc;The Testament of Longinius has theocratic practices for the government of vampires.;;;;;;;;;;;;;x
cult_government;Cult;;;;;;;;;;;;;x
cult_government_desc;Various tribal vampiric blood cults, the Circle of the Crone being their largest confederation.;;;;;;;;;;;;;x
primogen_republic_government;Primogen Council;;;;;;;;;;;;;x
primogen_republic_government_desc;The rule of a domain by a council of elders called the Primogen.;;;;;;;;;;;;;x
traditions_government;Traditions;;;;;;;;;;;;;x
traditions_government_desc;Traditions of the Camarilla--chief among these is The Masquerade.;;;;;;;;;;;;;x
ashirra_government;Ashirra;;;;;;;;;;;;;x
ashirra_government_desc;The Iqta adapted for the undead.;;;;;;;;;;;;;x
luna_government;Luna;;;;;;;;;;;;;x
luna_government_desc;Werewolves who have pledged to Luna.;;;;;;;;;;;;;x
pure_government;Pure;;;;;;;;;;;;;x
pure_government_desc;Werewolves who remain faithful to Father Wolf.;;;;;;;;;;;;;x
anda_government;Anda;;;;;;;;;;;;;x
anda_government_desc;Steppe Gangrel nomads.;;;;;;;;;;;;;x
warrens_government;Warrens;;;;;;;;;;;;;x
warrens_government_desc;Undercity dwellers who rarely emerge to the surface.;;;;;;;;;;;;;x
merchant_republic_government;Primogen Council;;;;;;;;;;;;;x
merchant_republic_government_desc;The rule of a domain by a council of elders called the Primogen.;;;;;;;;;;;;;x
litany_government;Litany;;;;;;;;;;;;;x
litany_government_desc;The Litany is the code of laws kept by the Garou. In its' full form, it is more of an epic poem than a legal code. Each tribe interprets the Litany differently, causing its' multiform shape.;;;;;;;;;;;;;x;;;;;;;;;;;x
milan_government;Milan;;;;;;;;;;;;;x
milan_government_desc;The Code of Milan regulates the behavior of the Sabbat;;;;;;;;;;;;;x
free_state_government;Free State;;;;;;;;;;;;;x
free_state_government_desc;The republics of anarchs.;;;;;;;;;;;;;x
carthian_government;Carthian;;;;;;;;;;;;;x
carthian_government_desc;Carthians experiment with a variety of modern Republican governments.;;;;;;;;;;;;;x
hunter_government;Hunt;;;;;;;;;;;;;x
hunter_government_desc;The government of mortal witch-hunters determined to destroy the supernatural.;;;;;;;;;;;;;x
dharmic_government;Dharma;;;;;;;;;;;;;x
dharmic_government_desc;The inverted Dharma of the vampires of India.;;;;;;;;;;;;;x
unaligned_government;Unaligned;;;;;;;;;;;;;x
unaligned_government_desc;Not aligned with a particular covenant;;;;;;;;;;;;;x
diamond_government;Diamond;;;;;;;;;;;;;x
diamond_government_desc;Diamond Orders;;;;;;;;;;;;;x
pyramid_government;Pyramid;;;;;;;;;;;;;x
pyramid_government_desc;Seers of the Throne;;;;;;;;;;;;;x
apostate_government;Apostate;;;;;;;;;;;;;x
apostate_government_desc;Neither the Diamond Orders nor the Pyramid;;;;;;;;;;;;;x
timori_government;Timori;;;;;;;;;;;;;x
timori_government_desc;Banishers;;;;;;;;;;;;;x
scelesti_government;Scelesti;;;;;;;;;;;;;x
scelesti_government_desc;Infernalists;;;;;;;;;;;;;x
pharmakons_government;Pharmakon;;;;;;;;;;;;;x
pharmakons_government_desc;The Mad;;;;;;;;;;;;;x
reason_government;Reason;;;;;;;;;;;;;x
reason_government_desc;The Order of Reason;;;;;;;;;;;;;x
daedalan_government;Daedalan;;;;;;;;;;;;;x
daedalan_government_desc;The followers of Daedalus;;;;;;;;;;;;;x
magicka_government;Magicka;;;;;;;;;;;;;x
magicka_government_desc;The traditions of Magic;;;;;;;;;;;;;x
