EVTDESC_POD_ATTACKIMPRISON_DECISION_1;[imprison_target.GetTitledFirstName]'s initial haven defenses have been penetrated but they are too powerful or lucky to be captured.  You may choose to attack them or send a loyal general to finish them off.  What will it be?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DECISION_1;Attack [imprison_target.GetHerHim]. (This will place you at risk);;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKIMPRISON_DECISION_1;Choose a general to lead the attack.;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKIMPRISON_DECISION_1;Call it off.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKIMPRISON_DECISION_1;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_2;If you attack choose to lead the attack against [imprison_target.GetTitledFirstName] you will put yourself at risk.  However, should you succeed, you will diablerize them and gain their blood power if it is stronger than yours.  Do you proceed to lead the attack?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_2;Yes.;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKIMPRISON_DIABLERIZE_2;No.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_3;Your long years of unlife have led you to become comfortable with your immortality.  Unfortunately this complacency made your guard slip and an enemy has used the occasion to attack you.  You...;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_3;... have been defeated!;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKIMPRISON_DIABLERIZE_3;... stave off the attack but are forced into torpor!;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKIMPRISON_DIABLERIZE_3;... foil the attack, leaving both you and the attacker injured.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKIMPRISON_DIABLERIZE_3;... foil the attack, leaving both you and the attacker maimed.;;;;;;;;;;;;;x
EVTOPTE_POD_ATTACKIMPRISON_DIABLERIZE_3;... foil the attack, slaying the person leading the attack!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_5;Your attack to diablerize [imprison_target.GetTitledFirstName] has succeeded.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_5;Excellent!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_6;[imprison_target.GetTitledFirstName] managed to escape your vicious attack.  However, they succumbed to torpor shortly after escaping.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_6;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_7;[imprison_target.GetTitledFirstName] managed to escape your vicious attack.  However, they succumbed to torpor shortly after escaping.  Your involvement is known.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_7;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_8;[imprison_target.GetTitledFirstName] managed to escape your vicious attack.  You have both suffered injuries.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_8;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_9;[imprison_target.GetTitledFirstName] managed to escape your vicious attack.  You have both suffered grievous injuries.!;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_9;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_DIABLERIZE_10;You have died during your attack on [imprison_target.GetTitledFirstName]!;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_DIABLERIZE_10;...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_HAVEN_11;Who will you send to organize and lead the attack on [imprison_target.GetTitledFirstName]'s haven?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_HAVEN_11;Send one of your ghouls.;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKIMPRISON_HAVEN_11;Ghoul a talented thug.;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKIMPRISON_HAVEN_11;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKIMPRISON_HAVEN_12;Which ghoul will lead the attack on [imprison_target.GetTitledFirstName]'s haven?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKIMPRISON_HAVEN_12;[ghoul_number_1.GetTitledFirstName].;;;;;;;;;;;;;x
