POD_INTRO_TITLE_1;Requiem for an Empire;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_1;If mortal medieval Italy is a divided state, then Italy by Night is a powder keg. Powerful old vampires scramble for the most populous cities in Europe. To the north, ventrue ‘cardinal’ Fabrizio Ulfila seats in Milan, a strong grasp on the Italian Church at his disposal. In Venezia, the Giovanni scions of Clan Cappadocian are masters of a sea spanning trade empire, time will tell if their focus is on Italy proper or in the east, like their parent clan. In Sicily, the capital of clan Lasombra is guarded by the faithful Montano, but overextension and the civil war in Spain have left the Sea of Shadows vulnerable. Finally, all eyes are on Rome, where Titus Venturus Camille has recently awoken. The Eternal Consul was the mastermind behind Rome’s empire and Carthage’s destruction and could usher a new age for Ventrue leadership. As other petty leaders and immortals kings rise elsewhere in Italy, the War of Princes has never been more dangerous than here.;;;;;;;;;;;;;x
EVTOPT_INTRO.1;All roads lead to Rome.;;;;;;;;;;;;;x
POD_INTRO_TITLE_2;Fading Dream;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_2;The ashes of Constantinople are still hot and, yet, vultures are already crawling on its corpse. Michael’s Dream, a vampiric utopia never seen since Carthage, has fallen with its creator, and a number of warlords and remnants of the broken Empire are surviving in Greece. The most important of them is Alfonzo, one of the instigators of the 4th Crusade, now holding Constantinople. The ambitious Lasombra still bow to the clan leaders in Sicily, but for how long? Further west, Natalya Svyatoslav of the Brujah is one of the last true believers of the Dream still active, hoping to claim the mantle of the ‘Archangel’ Michael for herself. The Promethean Hektor of the Aegean islands is trying to rebuild his own brand of utopia, and the chaos surrounding the continent could be his opportunity. As many others aspiring princes build domains in the ashes of the old, Greece could be reborn anew… or dead for good.;;;;;;;;;;;;;x
EVTOPT_INTRO.2;Has Michael foreseen this chaos?;;;;;;;;;;;;;x
POD_INTRO_TITLE_3;Between two worlds;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_3;Anatolia is still recovering from the destruction brought by the 4th Crusade. In the Ercyres, the seat of clan Cappadocian still stands strong with Japhet and Constancia at its helm. Traditionally isolationists, they could be forced to action by the surrounding chaos. Anna Komnenos leads Nikaea, one of the successor states of Michael’s Dream, Constantinople. The ambitious Ventrue fully intends to take back the city of cities, her birthright since her mortal days. Further south, Gondemar is the last Frankish vampire standing, after Geoffrey’s departure and Hugues assassination. His position is precarious at best, but Greeks know better than to dismiss catholic vampires by now. Between east and west, this land could be the birthplace of a new true prince, or king, of the night.;;;;;;;;;;;;;x
EVTOPT_INTRO.3;Plenty of opportunities for the strong.;;;;;;;;;;;;;x
POD_INTRO_TITLE_4;The bored God-King of England;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_4;Vampiric history of Britannia is closely linked to the Ventrue Mithras. Persian, than Roman, god, this 4th generation almost had the whole of Europe following his cult before Christianity drove him out. Retreating with his zealots in the land of the Brits, he quickly gathered power… and grew bored of the pettiness of the place. Failing regularly into torpor, the Norman invasion destroyed his seat of power and forced him to awoken to restore order. 150 years later, Mithras couldn’t care more about England again, and many of his subjects, like Melusine d’Anjou or John of York, have obtained de facto independence and plot his demise. Worse, Wales and Scotland have fallen back into werewolves paws. None can really say if Mithras will once again crush this new opposition or just let it fester under his nose until it’s too late.;;;;;;;;;;;;;x
EVTOPT_INTRO.4;All hail the God-King… for now.;;;;;;;;;;;;;x
POD_INTRO_TITLE_5;Land of Kings and Warlocks;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_5;The undisputed heart of clan Ventrue, Germany is firmly in the hands of Hardestadt. Still, even his rule isn’t unchallenged, by pretenders like Julia Antasia of western Germany or the elusive Brujah Guillaume of Burgundy. To the south, the usurpers of clan Tremere have a precarious position, with the vicious Tzimisce of Eastern Europe closing fast on their strongholds. Their defensive accord with the mighty Ventrue is perhaps their only lifeline. Close by lies Alexander of Paris, the broken ex prince of France, a powerful vampire by his own right, but alone politically. Hardestadt must act quickly, quelling the ambitions of his childe Jurgen, destroying Julia and Guillaume powerbases and securing his eastern front with or without Tremere’s help. Germany will be the crown jewel of clan Ventrue, or burn trying.;;;;;;;;;;;;;x
EVTOPT_INTRO.5;Rome is a fading memory, the future is here.;;;;;;;;;;;;;x
POD_INTRO_TITLE_6;Black Roses;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_6;As mortal France is reeling under the internal chaos of the albigensian crusade, vampiric France fare no better. Alexander, a 4th generation Ventrue, was prince of Paris and France until less than two years ago. He was ousted by a palace coup led by the Toreador Salianna, and his own childe, Geoffrey du Temple. The Toreador Queen has assumed control of the country and tries to consolidate her position, facing the opposition of her own clansmates, the other queens of France. On the other hand, Geoffrey has taken Paris itself as its prize but could, given time, made a bid for the crown that is his by right of blood. To the south, Esclarmonde of Toulouse is using the cathar uprising for her own purpose but could face the fury of northern France soon enough. Will the country finds a new, better, ruler than Alexander from this ordeal? Or will it be swept away in chaos and destruction?;;;;;;;;;;;;;x
EVTOPT_INTRO.6;France would fare better under my rule…;;;;;;;;;;;;;x
POD_INTRO_TITLE_7;Shadow Reconquista;;;;;;;;;;;;;x
EVTDESCPOD_INTRO_7;Iberia is the traditional center of power of clan Lasombra but the mortal Reconquista has plunged the Magisters into a bitter civil war. To the north, Sylvester de Ruiz leads the official, christian, clan Lasombra and has the clear ambition of ruling all of Iberia. He must take notice of his ambitious vassals though, the like of Ambrosio Luis Moncada or Lucita of Aragon. To the south, after decades of infighting, the muslim Lasombra –who call themselves Ashirra- have found in Badr of Andalusia a worthy and proven sultan. Elsewhere, new and old princes, from regal Ventrue to feral Gangrel, take notice of the weakness of the Magisters and wait for the right moment to strike. This Reconquista could be the last breath of the Lasombra dominance of Iberia.;;;;;;;;;;;;;x
EVTOPT_INTRO.7;Iberia will be whole again, just give me time.;;;;;;;;;;;;;x
POD_INTRO_TITLE_8;Ragnarok;;;;;;;;;;;;;x
