thyrsus;Thyrsus;;;;;;;;;;;;;x
thyrsus_desc;A magical path whose ruling Arcana are Life and Spirit.;;;;;;;;;;;;;x
obrimos;Obrimos;;;;;;;;;;;;;x
obrimos_desc;A magical path whose ruling Arcana are Forces and Prime.;;;;;;;;;;;;;x
moros;Moros;;;;;;;;;;;;;x
moros_desc;A magical path whose ruling Arcana are Death and Matter.;;;;;;;;;;;;;x
mastigos;Mastigos;;;;;;;;;;;;;x
mastigos_desc;A magical path whose ruling Arcana are Mind and Space.;;;;;;;;;;;;;x
acanthu;Acanthu;;;;;;;;;;;;;x
acanthu_desc;A magical path whose ruling Arcana are Fate and Time.;;;;;;;;;;;;;x
arcanum_fate_1;Arcanum Fate I;;;;;;;;;;;;;x
arcanum_fate_2;Arcanum Fate II;;;;;;;;;;;;;x
arcanum_fate_3;Arcanum Fate III;;;;;;;;;;;;;x
arcanum_fate_4;Arcanum Fate IV;;;;;;;;;;;;;x
arcanum_fate_5;Arcanum Fate V;;;;;;;;;;;;;x
arcanum_fate_1_desc;Its purview covers all aspects of destiny and probability, though it cannot predict the future.;;;;;;;;;;;;;x
arcanum_fate_2_desc;Its purview covers all aspects of destiny and probability, though it cannot predict the future.;;;;;;;;;;;;;x
arcanum_fate_3_desc;Its purview covers all aspects of destiny and probability, though it cannot predict the future.;;;;;;;;;;;;;x
arcanum_fate_4_desc;Its purview covers all aspects of destiny and probability, though it cannot predict the future.;;;;;;;;;;;;;x
arcanum_fate_5_desc;Its purview covers all aspects of destiny and probability, though it cannot predict the future.;;;;;;;;;;;;;x
arcanum_death_1;Arcanum Death I;;;;;;;;;;;;;x
arcanum_death_2;Arcanum Death II;;;;;;;;;;;;;x
arcanum_death_3;Arcanum Death III;;;;;;;;;;;;;x
arcanum_death_4;Arcanum Death IV;;;;;;;;;;;;;x
arcanum_death_5;Arcanum Death V;;;;;;;;;;;;;x
arcanum_death_1_desc;Its effects include things metaphysically associated with death, including darkness, decay and the stealing of souls.;;;;;;;;;;;;;x
arcanum_death_2_desc;Its effects include things metaphysically associated with death, including darkness, decay and the stealing of souls.;;;;;;;;;;;;;x
arcanum_death_3_desc;Its effects include things metaphysically associated with death, including darkness, decay and the stealing of souls.;;;;;;;;;;;;;x
arcanum_death_4_desc;Its effects include things metaphysically associated with death, including darkness, decay and the stealing of souls.;;;;;;;;;;;;;x
arcanum_death_5_desc;Its effects include things metaphysically associated with death, including darkness, decay and the stealing of souls.;;;;;;;;;;;;;x
arcanum_life_1;Arcanum Life I;;;;;;;;;;;;;x
arcanum_life_2;Arcanum Life II;;;;;;;;;;;;;x
arcanum_life_3;Arcanum Life III;;;;;;;;;;;;;x
arcanum_life_4;Arcanum Life IV;;;;;;;;;;;;;x
arcanum_life_5;Arcanum Life V;;;;;;;;;;;;;x
arcanum_life_1_desc;Mastery of it grants control over the physical forms of all living things.;;;;;;;;;;;;;x
arcanum_life_2_desc;Mastery of it grants control over the physical forms of all living things.;;;;;;;;;;;;;x
arcanum_life_3_desc;Mastery of it grants control over the physical forms of all living things.;;;;;;;;;;;;;x
arcanum_life_4_desc;Mastery of it grants control over the physical forms of all living things.;;;;;;;;;;;;;x
arcanum_life_5_desc;Mastery of it grants control over the physical forms of all living things.;;;;;;;;;;;;;x
arcanum_forces_1;Arcanum Forces I;;;;;;;;;;;;;x
arcanum_forces_2;Arcanum Forces II;;;;;;;;;;;;;x
arcanum_forces_3;Arcanum Forces III;;;;;;;;;;;;;x
arcanum_forces_4;Arcanum Forces IV;;;;;;;;;;;;;x
arcanum_forces_5;Arcanum Forces V;;;;;;;;;;;;;x
arcanum_forces_1_desc;It is the Gross ruling Arcanum of the Aether, and controls all forms of energy and force.;;;;;;;;;;;;;x
arcanum_forces_2_desc;It is the Gross ruling Arcanum of the Aether, and controls all forms of energy and force.;;;;;;;;;;;;;x
arcanum_forces_3_desc;It is the Gross ruling Arcanum of the Aether, and controls all forms of energy and force.;;;;;;;;;;;;;x
arcanum_forces_4_desc;It is the Gross ruling Arcanum of the Aether, and controls all forms of energy and force.;;;;;;;;;;;;;x
arcanum_forces_5_desc;It is the Gross ruling Arcanum of the Aether, and controls all forms of energy and force.;;;;;;;;;;;;;x
arcanum_matter_1;Arcanum Matter I;;;;;;;;;;;;;x
arcanum_matter_2;Arcanum Matter II;;;;;;;;;;;;;x
arcanum_matter_3;Arcanum Matter III;;;;;;;;;;;;;x
arcanum_matter_4;Arcanum Matter IV;;;;;;;;;;;;;x
arcanum_matter_5;Arcanum Matter V;;;;;;;;;;;;;x
arcanum_matter_1_desc;Deals with the transmutation and shaping of the various forms of physical matter.;;;;;;;;;;;;;x
arcanum_matter_2_desc;Deals with the transmutation and shaping of the various forms of physical matter.;;;;;;;;;;;;;x
arcanum_matter_3_desc;Deals with the transmutation and shaping of the various forms of physical matter.;;;;;;;;;;;;;x
arcanum_matter_4_desc;Deals with the transmutation and shaping of the various forms of physical matter.;;;;;;;;;;;;;x
arcanum_matter_5_desc;Deals with the transmutation and shaping of the various forms of physical matter.;;;;;;;;;;;;;x
arcanum_mind_1;Arcanum Mind I;;;;;;;;;;;;;x
arcanum_mind_2;Arcanum Mind II;;;;;;;;;;;;;x
arcanum_mind_3;Arcanum Mind III;;;;;;;;;;;;;x
arcanum_mind_4;Arcanum Mind IV;;;;;;;;;;;;;x
arcanum_mind_5;Arcanum Mind V;;;;;;;;;;;;;x
arcanum_mind_1_desc;This Arcanum connects with the minds of all thinking beings.;;;;;;;;;;;;;x
arcanum_mind_2_desc;This Arcanum connects with the minds of all thinking beings.;;;;;;;;;;;;;x
