#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DECADENCE_TITLE;Masquerade Exposure;;;;;;;;;;;;;x
DYNASTIC_DECADENCE;Masquerade Exposure;;;;;;;;;;;;;x
DECADENT_RELATIVES;Masquerade Exposure;;;;;;;;;;;;;x
DECADENCE_MOD;Masquerade Exposure;;;;;;;;;;;;;x
alert_decadence_instant;§YExposed Masquerade§!;;;;;;;;;;;;;x
DECADENCE_CHANGE;Masquerade Exposure per Month;;;;;;;;;;;;;x
DEC_MEMBER_CONTR;Monthly Masquerade Exposure Risk: ;;;;;;;;;;;;;x
TOTAL_DEC_DELTA;Total Masquerade Exposure Risk: ;;;;;;;;;;;;;x
DECADENCE_DESC;All supernaturals risk acquiring the Masquerade Exposed! trait, especially those of the low clans. The amount of Masquerade Exposure these supernaturals incur on their dynasty depends on their own social status as well as the size of the domains controlled by the Dynasty. Exposure affects the number of vassals a domain can have, as well as how expenses in covering up Masquerade violations. High exposure can lead to the whole domain being targeted by the witch hunters of the Inquisition! Ways to halt or decrease Masquerade Exposure include:\nGranting landed titles to dynasty members\nSuccessfully convincing exposed Dynasty members to cover up their violations of the Masquerade\nImprisoning, banishing or destroying exposed Dynasty members\n(The Sect View contains a list of exposed dynasty members.)!;;;;;;;;;;;;;x
decadent;Exposed Masquerade;;;;;;;;;;;;;x
CURRENT_DECADENCE;Current;Actuel;Aktuell;;Actual;;;;;;;;;x
DYNASTIC_DECADENCE;Masquerade Exposure;;;;;;;;;;;;;x
HAS_LOWER_DECADENCE_THAN;Has a lower Masquerade Exposure than ;;;;;;;;;;;;;x
HAS_HIGHER_DECADENCE_THAN;Has a Masquerade Exposure of at least ;;;;;;;;;;;;;x
DECADENCE_EFFECT;$DIRECTION$ $VALUE$ Masquerade exposure.\n;;;;;;;;;;;;;x
decadent_desc;Flagarant violations of the Masquerade risk exposing supernaturals to mortals, or worse--the Inquisition. Exposed characters will slowly increase the exposure value of their entire dynasty, which can eventually lead to massive hunter attacks. Violate the Silence of Blood at your own peril!;;;;;;;;;x
DECADENCE_REVOLT;[Root.PrimaryTitle.GetAdjective] Hunter Attack;;;;;;;;;;;;;x
PREVENT_DECADENCE;This character will not contribute to exposure of the Masquerade in [Root.GetHerHis] dynasty.;;;;;;;;;;;;;x
HIGH_DECADENCE;Your dynasty has exposed the Masquerade. There is a risk of a witch-hunter attack.;Votre dynastie est perçue comme une maison décadente. Une révolte massive est à craindre.;Eure Dynastie wird als hoffnungslos dekadent angesehen. Es besteht die Gefahr eines massiven Aufstandes.;;Tu dinastía es vista como decadente sin remedio. Hay riesgo de revuelta masiva. ;;;;;;;;;x
NOT_USES_DECADENCE;Does NOT use Masquerade Exposure;;;;;;;;;;;;;x
USES_DECADENCE;Use Masquerade Exposure;;;;;;;;;;;;;x
