EVTDESC_POD_MORTAL_RULER_INF_1;While mortal lives are fleeting and insignificant there are many advantages to controlling key positions of influence in their societies.  Your regional influence of key mortals is yet to be established in this area.  What will you do to pursue it?  (You may change this at any time by using a decision.);;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_1;Use blood and retainers to further your influence.;;;;;;;;;;;;;
EVTOPTB_POD_MORTAL_RULER_INF_1;Use your blood and wealth to further your interests.;;;;;;;;;;;;;
EVTOPTC_POD_MORTAL_RULER_INF_1;Assign your spymaster to oversee the process.;;;;;;;;;;;;;
EVTOPTD_POD_MORTAL_RULER_INF_1;Assign your harpy to oversee the process.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_2;While mortal lives are fleeting and insignificant there are many advantages to controlling key positions of influence in their societies.  Your regional influence of key mortals is yet to be established in this area.  What will you do to pursue it?  (You may change this at any time by using a decision.);;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_2;Use blood and retainers to further your influence.;;;;;;;;;;;;;
EVTOPTB_POD_MORTAL_RULER_INF_2;Use your blood and wealth to further your interests.;;;;;;;;;;;;;
EVTOPTC_POD_MORTAL_RULER_INF_2;Assign your spymaster to oversee the process.;;;;;;;;;;;;;
EVTOPTD_POD_MORTAL_RULER_INF_2;Assign your harpy to oversee the process.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_3.1;A key religious authority and his direct family have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_3.2;A key nobleman and his direct family have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_3.3;A key merchant and his direct family have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_3.4;A key member of the royal family and his direct family have fallen under your influence.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_3;Good.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_4.1;The servant staff of a key religious authority have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_4.2;The servant staff of a key nobleman have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_4.3;The servant staff of a key merchant have fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_4.4;The servant staff of a key member of the royal family have fallen under your influence.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_4;Good.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_5.1;A powerful noble in the area has fallen under your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_5.2;A powerful religious authority has fallen under your influence.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_5;Good.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_6;The council of a powerful individual has fallen under your influence.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_6;Good.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_7;A key family under your control has risen in stature and influence.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_7;As they should.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_8.1;A key family under your control has fallen from grace in a massive scandal.  They have lost all influence they once held.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_8.2;A key family under your control has moved to a new area and is no longer useful to you.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_8.3;A key family under your control has been eradicated.  Your spies do not know the true cause.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_8;Imbeciles.;;;;;;;;;;;;;
EVTOPTB_POD_MORTAL_RULER_INF_8;Take quick action to further your influence.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_9.1;A powerful mortal under your control has fallen from grace in a massive scandal.  They have lost all influence they once held.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_9.2;A powerful mortal under your control has moved to a new area and is no longer useful to you.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_9.3;A powerful mortal under your control has died.  Your spies do not know the true cause.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_9;Imbeciles.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_10;The servants under your control have been replaced.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_10;Hmm.;;;;;;;;;;;;;
EVTDESC_POD_MORTAL_RULER_INF_11;The council under your control has been replaced with new council members.;;;;;;;;;;;;;
EVTOPTA_POD_MORTAL_RULER_INF_11;Hmm.;;;;;;;;;;;;;
change_mortal_influence_approach;Change Mortal Influence Approach;;;;;;;;;;;;;
