path_of_humanity;Path of Humanity;;;;;;;;;;;;;x;
String_path_of_humanity;Path of Humanity;;;;;;;;;;;;;x;
path_of_humanity_desc;Path of Humanity description;;;;;;;;;;;;;x;
path_of_humanity_rank_4_female;Paragon;;;;;;;;;;;;;x;
path_of_humanity_rank_4_male;Paragon;;;;;;;;;;;;;x;
path_of_humanity_rank_3_female;Mentor;;;;;;;;;;;;;x;
path_of_humanity_rank_3_male;Mentor;;;;;;;;;;;;;x;
path_of_humanity_rank_2_female;Adherent;;;;;;;;;;;;;x;
path_of_humanity_rank_2_male;Adherent;;;;;;;;;;;;;x;
path_of_humanity_rank_1_female;Initiate;;;;;;;;;;;;;x;
path_of_humanity_rank_1_male;Initiate;;;;;;;;;;;;;x;
currency_name_path_of_humanity;Humanity;;;;;;;;;;;;;x;
path_of_humanity_leader_desc;Path of Humanity leader description;;;;;;;;;;;;;x;
code_of_tremere;Code of Tremere;;;;;;;;;;;;;x;
String_code_of_tremere;Code of Tremere;;;;;;;;;;;;;x;
code_of_tremere_desc;The Tremere Code marks the clan as unique among Cainites, no other group adheres to a unified set of rules that delineate acceptable behavior. No compelling magic binds any Tremere to the oath, unless some stern regent actively decides to enforce it, instead, the code is a de facto listing of what constitutes acceptable behavior for a member of the august House of Tremere.;;;;;;;;;;;;;x;
code_of_tremere_rank_4_female;Councilor;;;;;;;;;;;;;x;
code_of_tremere_rank_4_male;Councilor;;;;;;;;;;;;;x;
code_of_tremere_rank_3_female;Regent;;;;;;;;;;;;;x;
code_of_tremere_rank_3_male;Regent;;;;;;;;;;;;;x;
code_of_tremere_rank_2_female;Magus;;;;;;;;;;;;;x;
code_of_tremere_rank_2_male;Magus;;;;;;;;;;;;;x;
code_of_tremere_rank_1_female;Apprentice;;;;;;;;;;;;;x;
code_of_tremere_rank_1_male;Apprentice;;;;;;;;;;;;;x;
currency_name_code_of_tremere;Occult Knowledge;;;;;;;;;;;;;x;
code_of_tremere_leader_desc;Most of the leaders of House Tremere are members of the Inner Circle, Tremere's shadowy council.;;;;;;;;;;;;;x;
path_of_the_beast;Path of the Beast;;;;;;;;;;;;;x;
