mass_ghouls;Ghouls;;;;;;;;;;;;;x
mass_ghouls_offensive;Ghouls Offensive;;;;;;;;;;;;;x
mass_ghouls_defensive;Ghouls Defensive;;;;;;;;;;;;;x
mass_ghouls_morale;Ghouls Morale;;;;;;;;;;;;;x
mass_ghouls_modifier;Combat Modifier boost to Ghouls: $PERC$;;;;;;;;;;;;;x
mass_ghoulc;Ghoul Cavalry;;;;;;;;;;;;;x
mass_ghoulc_offensive;Ghouls Offensive;;;;;;;;;;;;;x
mass_ghoulc_defensive;Ghouls Defensive;;;;;;;;;;;;;x
mass_ghoulc_morale;Ghouls Morale;;;;;;;;;;;;;x
mass_ghoulc_modifier;Combat Modifier boost to Ghouls: $PERC$;;;;;;;;;;;;;x
mass_vampires;Vampire Coterie;;;;;;;;;;;;;x
mass_vampires_offensive;Vampires Offensive;;;;;;;;;;;;;x
mass_vampires_defensive;Vampires Defensive;;;;;;;;;;;;;x
mass_vampires_morale;Vampires Morale;;;;;;;;;;;;;x
mass_vampires_modifier;Combat Modifier boost to Vampires: $PERC$;;;;;;;;;;;;;x
mass_caitiff;Caitiff Coterie;;;;;;;;;;;;;x
mass_caitiff_offensive;Vampires Offensive;;;;;;;;;;;;;x
mass_caitiff_defensive;Vampires Defensive;;;;;;;;;;;;;x
mass_caitiff_morale;Vampires Morale;;;;;;;;;;;;;x
mass_caitiff_modifier;Combat Modifier boost to Vampires: $PERC$;;;;;;;;;;;;;x
mass_vampc;Vampire Cavalry;;;;;;;;;;;;;x
mass_vampc_offensive;Vampire Offensive;;;;;;;;;;;;;x
mass_vampc_defensive;Vampire Defensive;;;;;;;;;;;;;x
mass_vampc_morale;Vampire Morale;;;;;;;;;;;;;x
mass_vampc_modifier;Combat Modifier boost to Vampire: $PERC$;;;;;;;;;;;;;x
mass_assamitec;Assamite Cavalry;;;;;;;;;;;;;x
mass_assamitec_offensive;Assamites Offensive;;;;;;;;;;;;;x
mass_assamitec_defensive;Assamites Defensive;;;;;;;;;;;;;x
mass_assamitec_morale;Assamites Morale;;;;;;;;;;;;;x
mass_assamitec_modifier;Combat Modifier boost to Assamite: $PERC$;;;;;;;;;;;;;x
mass_assamite_vizierc;Assamite Vizier Cavalry;;;;;;;;;;;;;x
mass_assamite_vizierc_offensive;Assamite Viziers Offensive;;;;;;;;;;;;;x
mass_assamite_vizierc_defensive;Assamite Viziers Defensive;;;;;;;;;;;;;x
mass_assamite_vizierc_morale;Assamite Viziers Morale;;;;;;;;;;;;;x
mass_assamite_vizierc_modifier;Combat Modifier boost to Assamite Vizier: $PERC$;;;;;;;;;;;;;x
mass_brujahc;Brujah Cavalry;;;;;;;;;;;;;x
mass_brujahc_offensive;Brujah Offensive;;;;;;;;;;;;;x
mass_brujahc_defensive;Brujah Defensive;;;;;;;;;;;;;x
mass_brujahc_morale;Brujah Morale;;;;;;;;;;;;;x
mass_brujahc_modifier;Combat Modifier boost to Brujah: $PERC$;;;;;;;;;;;;;x
mass_cappadocianc;Cappadocian Cavalry;;;;;;;;;;;;;x
mass_cappadocianc_offensive;Cappadocian Offensive;;;;;;;;;;;;;x
mass_cappadocianc_defensive;Cappadocian Defensive;;;;;;;;;;;;;x
mass_cappadocianc_morale;Cappadocian Morale;;;;;;;;;;;;;x
