great_person;Great Person;;;;;;;;;;;;;x
great_person_desc;This is a person of significance.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_1;Do you wish to mentor your new childe [From.GetTitledFirstName]?;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_1;Yes.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_1;No.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_2;Your childe, [From.GetTitledFirstName], has moved onto a new stage in their unlife and is no longer in need of your direct mentoring.;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_2;Ok.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_3;[From.GetTitledFirstName] is new to their unlife and their receptivity to your teachings will never be higher.  Over the course of the last few years you spent time to show them how to feed, manage their beast, avoid things that now harm them and adjust to their new life cycles.  You setup life experiences to impress upon them... ;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_3;... how the strong rule the weak.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_3;... that respect and humanity are the way.;;;;;;;;;;;;;x
EVTOPTC_POD_CHILDE_MENTOR_3;... they can only depend on themselves.;;;;;;;;;;;;;x
EVTOPTD_POD_CHILDE_MENTOR_3;... that no one can be trusted.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_4;You have taught [From.GetTitledFirstName] about their vampiric blood over the past few years.  They are taught about it's uses both within and without.  They learn their clan disciplines but they also take a particular aptitude to...(Note: Only disciplines you have and they do not possess will show up);;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_4;... a physical discipline.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_4;... a mental discipline.;;;;;;;;;;;;;x
EVTOPTC_POD_CHILDE_MENTOR_4;... a discipline using blood-magick.;;;;;;;;;;;;;x
EVTOPTD_POD_CHILDE_MENTOR_4;... a unique clan discipline.;;;;;;;;;;;;;x
EVTOPTE_POD_CHILDE_MENTOR_4;... nothing.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_5;You introduce [From.GetTitledFirstName] to your court and allow them to witness some of your meetings with vassals, servants and councilors.  They absorb valuable court etiquette, witnessing how you resolve situations and deal with others.  They learn... ;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_5;... that it's always good to have friends.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_5;... manipulation works wonders.;;;;;;;;;;;;;x
EVTOPTC_POD_CHILDE_MENTOR_5;... a direct approach keeps others in line.;;;;;;;;;;;;;x
EVTOPTD_POD_CHILDE_MENTOR_5;... a steel fist in a velvet glove garners respect.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_6;You have showed [From.GetTitledFirstName] the ways of [Root.Society.GetName] over the past few years.  You emphasized the importance of a consistent morality to maintain control over the beast.  One night they approach you to tell you that they... ;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_6;... embrace your teachings.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_6;... choose to follow their own way.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_7.1;[From.GetTitledFirstName] has encountered a crisis.  An enemy of yours has focused on them.  They use a pawn to seduce [From.GetTitledFirstName] and lure them into a bad situation which requires your immediate action to save them.  It results in...;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_7.2;[From.GetTitledFirstName] has encountered a crisis.  Someone has taken a distinct dislike to them and manipulated them [From.GetTitledFirstName] into a bad situation which requires your immediate action to save them.  It results in...;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_7.3;[From.GetTitledFirstName] has encountered a crisis.  They have made a friend who has dragged them into a terrible situation which requires your immediate action to save [From.GetTitledFirstName].  It results in...;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_7;... the situation being resolved.;;;;;;;;;;;;;x
EVTOPTB_POD_CHILDE_MENTOR_7;... [From.GetTitledFirstName] dying!;;;;;;;;;;;;;x
EVTOPTC_POD_CHILDE_MENTOR_7;... [From.GetTitledFirstName] being bitter at your involvement.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_8; It is obvious that [From.GetTitledFirstName] respects you and looks to you as someone to emulate.  You notice they have taken on an aspect of your personality.;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_8;[From.GetTitledFirstName] gains a trait of yours.;;;;;;;;;;;;;x
EVTDESC_POD_CHILDE_MENTOR_9;There are some people who spend a lot of time together and develop mutual respect and trust for one another.  Your childe, [From.GetTitledFirstName], has impressed you as much as you have impressed them.;;;;;;;;;;;;;x
EVTOPTA_POD_CHILDE_MENTOR_9;You are now friends.;;;;;;;;;;;;;x
