EVTDESC_POD_ATTACKGENERIC_DECISION_1;Your efforts to end [plot_target.GetTitledFirstName] have borne fruit.  Agents are now in place to facilitate the next step of your plan.  What will it be?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DECISION_1;Attack them.  (This will place you at risk);;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DECISION_1;Attack their haven during daylight.;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_DECISION_1;Send someone to lead an attack.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_DECISION_1;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_2;A plan is in place to exploit a moment of weakness in [plot_target.GetTitledFirstName]'s defensive precautions.  Go through with the plan to personally lead the attack on them?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_2;Yes.;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DIABLERIZE_2;No.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_3;You have become comfortable in your daily routine.  Unfortunately this complacency made your guard slip and an enemy has used the occasion to attack you.  You...;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_3;... have been defeated!;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DIABLERIZE_3;... stave off the attack but are forced into torpor!;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_DIABLERIZE_3;... foil the attack, leaving both you and the attacker injured.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_DIABLERIZE_3;... foil the attack, leaving both you and the attacker maimed.;;;;;;;;;;;;;x
EVTOPTE_POD_ATTACKGENERIC_DIABLERIZE_3;... foil the attack, slaying the person leading the attack!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_5;Your attack on [plot_target.GetTitledFirstName] has succeeded.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_5;Excellent!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_6;[plot_target.GetTitledFirstName] managed to escape your vicious attack.  However, they succumbed to torpor shortly after escaping.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_6;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_7;[plot_target.GetTitledFirstName] managed to escape your vicious attack.  However, they succumbed to torpor shortly after escaping.  Your involvement is known.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_7;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_8;[plot_target.GetTitledFirstName] managed to escape your vicious attack.  You have both suffered injuries.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_8;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_9;[plot_target.GetTitledFirstName] managed to escape your vicious attack.  You have both suffered grievous injuries.!;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_9;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DIABLERIZE_10;You have died during your attack on [plot_target.GetTitledFirstName]!;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DIABLERIZE_10;...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_11;Who will you send to organize and lead the attack on [plot_target.GetTitledFirstName]'s haven?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_11;Send one of your ghouls.;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_HAVEN_11;Ghoul a talented thug.;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_HAVEN_11;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_12;Which ghoul will lead the attack on [plot_target.GetTitledFirstName]'s haven?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_12;[ghoul_number_1.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_HAVEN_12;[ghoul_number_2.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_HAVEN_12;[ghoul_number_3.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_HAVEN_12;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_13;You have become comfortable in your daily routine. Unfortunately this complacency made your guard slip and an enemy force has attacked your haven during the day!  Your forces...;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_13;... have been defeated!;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_HAVEN_13;... stave off the attack but you are forced into torpor!;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_HAVEN_13;... foil the attack, leaving one of your courtiers dead.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_HAVEN_13;... foil the attack, leaving both a courtier and the attacker dead.;;;;;;;;;;;;;x
EVTOPTE_POD_ATTACKGENERIC_HAVEN_13;... foil the attack, slaying the person leading the attack!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_14;Your haven attack against [plot_target.GetTitledFirstName] has succeeded.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_14;Excellent!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_15;Your haven attack against [plot_target.GetTitledFirstName] has succeeded.  It is known they died by your orders.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_15;Excellent!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_16;[plot_target.GetTitledFirstName]'s forces managed to spirit away their master during the attack on their haven.  However, [plot_target.GetTitledFirstName] succumbed to torpor shortly afterwards.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_16;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_17;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  However, [plot_target.GetTitledFirstName] succumbed to torpor shortly afterwards.  Your involvement is known.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_17;Next time...;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_18;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  One of their servants died and [plot_attacker.GetTitledFirstName] lived.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_18;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_19;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  One of their servants died and [plot_attacker.GetTitledFirstName] lived.  Your involvement is known.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_19;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_20;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  Both a servant and [plot_attacker.GetTitledFirstName] died.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_20;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_21;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  Both a servant and [plot_attacker.GetTitledFirstName] died.  Your involvement is known.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_21;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_22;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  [plot_attacker.GetTitledFirstName] died leading the attack.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_22;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_HAVEN_23;[plot_target.GetTitledFirstName]'s forces managed to repel your attack on their haven.  [plot_attacker.GetTitledFirstName] died leading the attack.;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_HAVEN_23;Curses!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DELEGATE_24;A plan is in place to exploit a moment of weakness in [plot_target.GetTitledFirstName]'s defensive precautions.  Who will you send to lead the attack?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DELEGATE_24;A vampire from my realm.;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DELEGATE_24;An enemy of [plot_target.GetTitledFirstName] in their realm.;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_DELEGATE_24;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DELEGATE_25;Who will lead the prepared attack on [plot_target.GetTitledFirstName]?;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DELEGATE_25;[vampire_number_1.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DELEGATE_25;[vampire_number_2.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_DELEGATE_25;[vampire_number_3.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_DELEGATE_25;Call it off.;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DELEGATE_26;You have become comfortable in your daily routine. Unfortunately this complacency made your guard slip and an enemy has used the occasion to attack you.  You...;;;;;;;;;;;;;x
EVTOPTA_POD_ATTACKGENERIC_DELEGATE_26;... have been defeated!;;;;;;;;;;;;;x
EVTOPTB_POD_ATTACKGENERIC_DELEGATE_26;... stave off the attack but are forced into torpor!;;;;;;;;;;;;;x
EVTOPTC_POD_ATTACKGENERIC_DELEGATE_26;... foil the attack, leaving both you and the attacker injured.;;;;;;;;;;;;;x
EVTOPTD_POD_ATTACKGENERIC_DELEGATE_26;... foil the attack, leaving both you and the attacker maimed.;;;;;;;;;;;;;x
EVTOPTE_POD_ATTACKGENERIC_DELEGATE_26;... foil the attack, slaying the person leading the attack!;;;;;;;;;;;;;x
EVTDESC_POD_ATTACKGENERIC_DELEGATE_27;Your delegated attack by [plot_attacker.GetTitledFirstName] on [plot_target.GetTitledFirstName] has succeeded.;;;;;;;;;;;;;x
