DEATH_BY_DIABLERIE;diablerized by $KILLER$;;;;;;;;;;;;;x
DEATH_BY_DIABLERIE_UNKNOWN;diablerized by unknown;;;;;;;;;;;;;x
DEATH_BY_HAVEN_ATTACK;died due to haven attack by $KILLER$;;;;;;;;;;;;;x
DEATH_BY_HAVEN_ATTACK_UNKNOWN;died due to haven attack;;;;;;;;;;;;;x
insane_tip_2;Lasts 2 years;;;;;;;;;;;;;x
insane_tip_3;Lasts 5 years;;;;;;;;;;;;;x
insane_tip_4;Lasts 10 years;;;;;;;;;;;;;x
insane_tip_5;Lasts 20 years;;;;;;;;;;;;;x
dementation_total_insanity_decision;Gift Insanity;;;;;;;;;;;;;x
dementation_total_insanity_decision_desc;Use dementation to invoke insanity in the target.;;;;;;;;;;;;;x
dementation_voiceofmadness_decision;Voice of Madness;;;;;;;;;;;;;x
dementation_voiceofmadness_decision_desc;Use dementation to provoke extreme fear or anger in the target.;;;;;;;;;;;;;x
dementation_silencesanemind_decision;Silence the Sane Mind;;;;;;;;;;;;;x
dementation_silencesanemind_decision_desc;Use dementation to suppress part of the target's mind.;;;;;;;;;;;;;x
dementation_confusion_decision;Confusion;;;;;;;;;;;;;x
dementation_confusion_decision_desc;Use dementation to invoke confusion in the target.;;;;;;;;;;;;;x
EVTDESC_POD_INSANITYPLOTACCESS;You must contrive to get close to [Root.PlotTarget.GetTitledFirstName] while they are distracted or engaged.;;;;;;;;;;;;;x
EVTOPTA_POD_INSANITYPLOTACCESS;Purchase your way.;;;;;;;;;;;;;x
EVTOPTB_POD_INSANITYPLOTACCESS;Use obfuscate.;;;;;;;;;;;;;x
EVTDESC_POD_INSANITYPLOTGO;In one month you will be close to [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTA_POD_INSANITYPLOTGO;Excellent.;;;;;;;;;;;;;x
EVTDESC_POD_INSANITYPLOTACTION;You are at a gathering in [Root.Location.GetTitledFirstName] when you spot someone looking at you oddly while you are busy.;;;;;;;;;;;;;x
EVTOPTA_POD_INSANITYPLOTACTION;My head feels weird.;;;;;;;;;;;;;x
EVTOPTB_POD_INSANITYPLOTACTION;I don't like the look of him.;;;;;;;;;;;;;x
plot_insanity_character_title;Give [This.GetBestName] Insanity;;;;;;;;;;;;x
plot_insanity_character_short;Plot: Gift Insanity;;;;;;;;;;;;;x
plot_insanity_character_desc;[From.GetTitledFirstName] has decided it is time for [This.GetTitledFirstName] to join the ranks of the insane. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for opportunities to get near and use Dementation on [This.GetTitledFirstName] - the higher the Plot Power, the more likely they are to find openings.;;;;;;;;;;;;;x
EVTDESC_POD_INSANITYPLOTSUCCESS;No one noticed the action against [Root.PlotTarget.GetTitledFirstName].;;;;;;;;;;;;;x
EVTOPTA_POD_INSANITYPLOTSUCCESS;Excellent.;;;;;;;;;;;;;x
EVTDESC_POD_INSANITYPLOTNOTICED;Someone from [Root.PlotTarget.GetTitledFirstName]'s court has noted your attempt.;;;;;;;;;;;;;x
EVTOPTA_POD_INSANITYPLOTNOTICED;Drats!;;;;;;;;;;;;;x
