tooltip_disciplines;This option is available due to your disciplines.;;;;;;;;;;;;;x
player_census_kill_plots_decision;Check Global Kill Plot Census;;;;;;;;;;;;;x
player_census_kill_plots_decision_desc;Check the statistics for kill plots.;;;;;;;;;;;;;x
plot_scheme_loyalty_title;Plot to gain favor from [This.GetBestName];;;;;;;;;;;;x
plot_scheme_loyalty_short;Plot: Gain Favor;;;;;;;;;;;;;x
plot_scheme_loyalty_desc;[From.GetTitledFirstName] wishes to gain a favor from [This.GetTitledFirstName]. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for opportunities to create a situation where [This.GetTitledFirstName] needs help - help [From.GetTitledFirstName] can provide.  The higher the Plot Power, the more likely they are to find opportunities.;;;;;;;;;;;;;x
plot_scheme_friendship_title;Plot to gain friendship from [This.GetBestName];;;;;;;;;;;;x
plot_scheme_friendship_short;Plot: Gain Friendship;;;;;;;;;;;;;x
plot_scheme_friendship_desc;[From.GetTitledFirstName] wishes to befriend [This.GetTitledFirstName]. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for opportunities to talk to and help [This.GetTitledFirstName] out of a few jams.  These jams just happen to be caused by [From.GetTitledFirstName]. The higher the Plot Power, the more likely they are to find opportunities.;;;;;;;;;;;;;x
plot_awaken_target_title;Awaken [This.GetBestName] from torpor.;;;;;;;;;;;;x
plot_awaken_target_short;Plot: Awaken Vampire;;;;;;;;;;;;;x
plot_awaken_target_desc;[From.GetTitledFirstName] wishes to awaken [This.GetTitledFirstName] from torpor. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for information of [This.GetTitledFirstName]'s resting place.  This information will be given to a vampire that wishes to wake [This.GetTitledFirstName].;;;;;;;;;;;;;x
plot_seed_of_rebellion_title;Plant a seed of rebellion in [This.GetBestName];;;;;;;;;;;;x
plot_seed_of_rebellion_short;Plot: Seed of Rebellion;;;;;;;;;;;;;x
plot_seed_of_rebellion_desc;[From.GetTitledFirstName] wishes to turn [This.GetTitledFirstName] against their liege. [From.GetTitledFirstName] and [From.GetPossPronoun] backers will look for opportunities to humiliate and act against [This.GetTitledFirstName] that appear to come from their liege.  The higher the Plot Power, the more likely they are to find opportunities.;;;;;;;;;;;;;x
plot_bloodbind_target_title;Plot to bloodbind [This.GetBestName];;;;;;;;;;;;x
plot_bloodbind_target_short;Plot: Bloodbind;;;;;;;;;;;;;x
