gift_Agony_1;Agony I;;;;;;;;;;;;;x
gift_Agony_2;Agony II;;;;;;;;;;;;;x
gift_Agony_3;Agony III;;;;;;;;;;;;;x
gift_Agony_4;Agony IV;;;;;;;;;;;;;x
gift_Agony_5;Agony V;;;;;;;;;;;;;x
gift_Agony_1_desc;Stoicism;;;;;;;;;;;;;x
gift_Agony_2_desc;Stoicism, Barbed Arrow;;;;;;;;;;;;;x
gift_Agony_3_desc;Stoicism, Barbed Arrow, Pangs of Anguish;;;;;;;;;;;;;x
gift_Agony_4_desc;Stoicism, Barbed Arrow, Pangs of Anguish, World of Pain;;;;;;;;;;;;;x
gift_Agony_5_desc;Stoicism, Barbed Arrow, Pangs of Anguish, World of Pain, All-Consuming Anguish;;;;;;;;;;;;;x
train_gift_Agony_1_decision;Learn Agony I;;;;;;;;;;;;;x
train_gift_Agony_2_decision;Learn Agony II;;;;;;;;;;;;;x
train_gift_Agony_3_decision;Learn Agony III;;;;;;;;;;;;;x
train_gift_Agony_4_decision;Learn Agony IV;;;;;;;;;;;;;x
train_gift_Agony_5_decision;Learn Agony V;;;;;;;;;;;;;x
train_gift_Agony_1_decision_desc;Stoicism;;;;;;;;;;;;;x
train_gift_Agony_2_decision_desc;Stoicism, Barbed Arrow;;;;;;;;;;;;;x
train_gift_Agony_3_decision_desc;Stoicism, Barbed Arrow, Pangs of Anguish;;;;;;;;;;;;;x
train_gift_Agony_4_decision_desc;Stoicism, Barbed Arrow, Pangs of Anguish, World of Pain;;;;;;;;;;;;;x
train_gift_Agony_5_decision_desc;Stoicism, Barbed Arrow, Pangs of Anguish, World of Pain, All-Consuming Anguish;;;;;;;;;;;;;x
gift_Alpha_1;Alpha I;;;;;;;;;;;;;x
gift_Alpha_2;Alpha II;;;;;;;;;;;;;x
gift_Alpha_3;Alpha III;;;;;;;;;;;;;x
gift_Alpha_4;Alpha IV;;;;;;;;;;;;;x
gift_Alpha_5;Alpha V;;;;;;;;;;;;;x
gift_Alpha_1_desc;Sense Guilt;;;;;;;;;;;;;x
gift_Alpha_2_desc;Sense Guilt, Alpha's Aura;;;;;;;;;;;;;x
gift_Alpha_3_desc;Sense Guilt, Alpha's Aura, Taste of Flaws;;;;;;;;;;;;;x
gift_Alpha_4_desc;Sense Guilt, Alpha's Aura, Taste of Flaws, Lordly Will;;;;;;;;;;;;;x
gift_Alpha_5_desc;Sense Guilt, Alpha's Aura, Taste of Flaws, Lordly Will, Alpha's Howl;;;;;;;;;;;;;x
train_gift_Alpha_1_decision;Learn Alpha I;;;;;;;;;;;;;x
train_gift_Alpha_2_decision;Learn Alpha II;;;;;;;;;;;;;x
train_gift_Alpha_3_decision;Learn Alpha III;;;;;;;;;;;;;x
train_gift_Alpha_4_decision;Learn Alpha IV;;;;;;;;;;;;;x
train_gift_Alpha_5_decision;Learn Alpha V;;;;;;;;;;;;;x
train_gift_Alpha_1_decision_desc;Sense Guilt;;;;;;;;;;;;;x
train_gift_Alpha_2_decision_desc;Sense Guilt, Alpha's Aura;;;;;;;;;;;;;x
train_gift_Alpha_3_decision_desc;Sense Guilt, Alpha's Aura, Taste of Flaws;;;;;;;;;;;;;x
train_gift_Alpha_4_decision_desc;Sense Guilt, Alpha's Aura, Taste of Flaws, Lordly Will;;;;;;;;;;;;;x
train_gift_Alpha_5_decision_desc;Sense Guilt, Alpha's Aura, Taste of Flaws, Lordly Will, Alpha's Howl;;;;;;;;;;;;;x
gift_Battle_1;Battle I;;;;;;;;;;;;;x
gift_Battle_2;Battle II;;;;;;;;;;;;;x
gift_Battle_3;Battle III;;;;;;;;;;;;;x
gift_Battle_4;Battle IV;;;;;;;;;;;;;x
gift_Battle_5;Battle V;;;;;;;;;;;;;x
gift_Battle_1_desc;Visage of Fenris;;;;;;;;;;;;;x
gift_Battle_2_desc;Visage of Fenris, Worry the Prey's Heels;;;;;;;;;;;;;x
gift_Battle_3_desc;Visage of Fenris, Worry the Prey's Heels, Savaging ;;;;;;;;;;;;;x
gift_Battle_4_desc;Visage of Fenris, Worry the Prey's Heels, Savaging, Primal Anger ;;;;;;;;;;;;;x
gift_Battle_5_desc;Visage of Fenris, Worry the Prey's Heels, Savaging, Primal Anger, Heartstopping Howl;;;;;;;;;;;;;x
train_gift_Battle_1_decision;Learn Battle I;;;;;;;;;;;;;x
train_gift_Battle_2_decision;Learn Battle II;;;;;;;;;;;;;x
train_gift_Battle_3_decision;Learn Battle III;;;;;;;;;;;;;x
train_gift_Battle_4_decision;Learn Battle IV;;;;;;;;;;;;;x
train_gift_Battle_5_decision;Learn Battle V;;;;;;;;;;;;;x
train_gift_Battle_1_decision_desc;Visage of Fenris;;;;;;;;;;;;;x
train_gift_Battle_2_decision_desc;Visage of Fenris, Worry the Prey's Heels;;;;;;;;;;;;;x
train_gift_Battle_3_decision_desc;Visage of Fenris, Worry the Prey's Heels, Savaging ;;;;;;;;;;;;;x
train_gift_Battle_4_decision_desc;Visage of Fenris, Worry the Prey's Heels, Savaging, Primal Anger ;;;;;;;;;;;;;x
train_gift_Battle_5_decision_desc;Visage of Fenris, Worry the Prey's Heels, Savaging, Primal Anger, Heartstopping Howl;;;;;;;;;;;;;x
gift_Blending_1;Blending I;;;;;;;;;;;;;x
gift_Blending_2;Blending II;;;;;;;;;;;;;x
gift_Blending_3;Blending III;;;;;;;;;;;;;x
gift_Blending_4;Blending IV;;;;;;;;;;;;;x
gift_Blending_5;Blending V;;;;;;;;;;;;;x
gift_Blending_1_desc;Shadow Coat;;;;;;;;;;;;;x
gift_Blending_2_desc;Shadow Coat, Manytongues ;;;;;;;;;;;;;x
gift_Blending_3_desc;Shadow Coat, Manytongues, Resist Toxin ;;;;;;;;;;;;;x
gift_Blending_4_desc;Shadow Coat, Manytongues, Resist Toxin, Mask the Hunter ;;;;;;;;;;;;;x
gift_Blending_5_desc;Shadow Coat, Manytongues, Resist Toxin, Mask the Hunter, Hide the Curse ;;;;;;;;;;;;;x
train_gift_Blending_1_decision;Learn Blending I;;;;;;;;;;;;;x
train_gift_Blending_2_decision;Learn Blending II;;;;;;;;;;;;;x
train_gift_Blending_3_decision;Learn Blending III;;;;;;;;;;;;;x
train_gift_Blending_4_decision;Learn Blending IV;;;;;;;;;;;;;x
train_gift_Blending_5_decision;Learn Blending V;;;;;;;;;;;;;x
train_gift_Blending_1_decision_desc;Shadow Coat;;;;;;;;;;;;;x
train_gift_Blending_2_decision_desc;Shadow Coat, Manytongues ;;;;;;;;;;;;;x
train_gift_Blending_3_decision_desc;Shadow Coat, Manytongues, Resist Toxin ;;;;;;;;;;;;;x
train_gift_Blending_4_decision_desc;Shadow Coat, Manytongues, Resist Toxin, Mask the Hunter ;;;;;;;;;;;;;x
train_gift_Blending_5_decision_desc;Shadow Coat, Manytongues, Resist Toxin, Mask the Hunter, Hide the Curse ;;;;;;;;;;;;;x
gift_Blood_1;Blood I;;;;;;;;;;;;;x
gift_Blood_2;Blood II;;;;;;;;;;;;;x
gift_Blood_3;Blood III;;;;;;;;;;;;;x
gift_Blood_4;Blood IV;;;;;;;;;;;;;x
gift_Blood_5;Blood V;;;;;;;;;;;;;x
gift_Blood_1_desc;Blood Divination;;;;;;;;;;;;;x
gift_Blood_2_desc;Blood Divination, Shark's Scent;;;;;;;;;;;;;x
gift_Blood_3_desc;Blood Divination, Shark's Scent, Clot;;;;;;;;;;;;;x
gift_Blood_4_desc;Blood Divination, Shark's Scent, Clot, Scent Weakness;;;;;;;;;;;;;x
gift_Blood_5_desc;Blood Divination, Shark's Scent, Clot, Scent Weakness, Sacrifice;;;;;;;;;;;;;x
train_gift_Blood_1_decision;Learn Blood I;;;;;;;;;;;;;x
train_gift_Blood_2_decision;Learn Blood II;;;;;;;;;;;;;x
train_gift_Blood_3_decision;Learn Blood III;;;;;;;;;;;;;x
train_gift_Blood_4_decision;Learn Blood IV;;;;;;;;;;;;;x
train_gift_Blood_5_decision;Learn Blood V;;;;;;;;;;;;;x
train_gift_Blood_1_decision_desc;Blood Divination;;;;;;;;;;;;;x
train_gift_Blood_2_decision_desc;Blood Divination, Shark's Scent;;;;;;;;;;;;;x
train_gift_Blood_3_decision_desc;Blood Divination, Shark's Scent, Clot;;;;;;;;;;;;;x
train_gift_Blood_4_decision_desc;Blood Divination, Shark's Scent, Clot, Scent Weakness;;;;;;;;;;;;;x
train_gift_Blood_5_decision_desc;Blood Divination, Shark's Scent, Clot, Scent Weakness, Sacrifice;;;;;;;;;;;;;x
gift_Bone_1;Bone I;;;;;;;;;;;;;x
gift_Bone_2;Bone II;;;;;;;;;;;;;x
gift_Bone_3;Bone III;;;;;;;;;;;;;x
gift_Bone_4;Bone IV;;;;;;;;;;;;;x
gift_Bone_5;Bone V;;;;;;;;;;;;;x
gift_Bone_1_desc;Strip Carcass;;;;;;;;;;;;;x
gift_Bone_2_desc;Strip Carcass, Dead Men's Bones;;;;;;;;;;;;;x
gift_Bone_3_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow;;;;;;;;;;;;;x
gift_Bone_4_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow, Fracture;;;;;;;;;;;;;x
gift_Bone_5_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow, Fracture, Bone Carapace;;;;;;;;;;;;;x
train_gift_Bone_1_decision;Learn Bone I;;;;;;;;;;;;;x
train_gift_Bone_2_decision;Learn Bone II;;;;;;;;;;;;;x
train_gift_Bone_3_decision;Learn Bone III;;;;;;;;;;;;;x
train_gift_Bone_4_decision;Learn Bone IV;;;;;;;;;;;;;x
train_gift_Bone_5_decision;Learn Bone V;;;;;;;;;;;;;x
train_gift_Bone_1_decision_desc;Strip Carcass;;;;;;;;;;;;;x
train_gift_Bone_2_decision_desc;Strip Carcass, Dead Men's Bones;;;;;;;;;;;;;x
train_gift_Bone_3_decision_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow;;;;;;;;;;;;;x
train_gift_Bone_4_decision_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow, Fracture;;;;;;;;;;;;;x
train_gift_Bone_5_decision_desc;Strip Carcass, Dead Men's Bones, Freeze Marrow, Fracture, Bone Carapace;;;;;;;;;;;;;x
gift_City_1;City I;;;;;;;;;;;;;x
gift_City_2;City II;;;;;;;;;;;;;x
gift_City_3;City III;;;;;;;;;;;;;x
gift_City_4;City IV;;;;;;;;;;;;;x
gift_City_5;City V;;;;;;;;;;;;;x
gift_City_1_desc;City Eyes;;;;;;;;;;;;;x
gift_City_2_desc;City Eyes, Word on the Street;;;;;;;;;;;;;x
gift_City_3_desc;City Eyes, Word on the Street, Gridlock;;;;;;;;;;;;;x
gift_City_4_desc;City Eyes, Word on the Street, Gridlock, City Running;;;;;;;;;;;;;x
gift_City_5_desc;City Eyes, Word on the Street, Gridlock, City Running, Urban Chaos;;;;;;;;;;;;;x
train_gift_City_1_decision;Learn City I;;;;;;;;;;;;;x
train_gift_City_2_decision;Learn City II;;;;;;;;;;;;;x
train_gift_City_3_decision;Learn City III;;;;;;;;;;;;;x
train_gift_City_4_decision;Learn City IV;;;;;;;;;;;;;x
train_gift_City_5_decision;Learn City V;;;;;;;;;;;;;x
train_gift_City_1_decision_desc;City Eyes;;;;;;;;;;;;;x
train_gift_City_2_decision_desc;City Eyes, Word on the Street;;;;;;;;;;;;;x
train_gift_City_3_decision_desc;City Eyes, Word on the Street, Gridlock;;;;;;;;;;;;;x
train_gift_City_4_decision_desc;City Eyes, Word on the Street, Gridlock, City Running;;;;;;;;;;;;;x
train_gift_City_5_decision_desc;City Eyes, Word on the Street, Gridlock, City Running, Urban Chaos;;;;;;;;;;;;;x
gift_Crescent_Moon_1;Crescent Moon I;;;;;;;;;;;;;x
gift_Crescent_Moon_2;Crescent Moon II;;;;;;;;;;;;;x
gift_Crescent_Moon_3;Crescent Moon III;;;;;;;;;;;;;x
gift_Crescent_Moon_4;Crescent Moon IV;;;;;;;;;;;;;x
gift_Crescent_Moon_5;Crescent Moon V;;;;;;;;;;;;;x
gift_Crescent_Moon_1_desc;Two-World Eyes;;;;;;;;;;;;;x
gift_Crescent_Moon_2_desc;Two-World Eyes, Read Spirit;;;;;;;;;;;;;x
gift_Crescent_Moon_3_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak;;;;;;;;;;;;;x
gift_Crescent_Moon_4_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak, Between the Weave;;;;;;;;;;;;;x
gift_Crescent_Moon_5_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak, Between the Weave, Crash the Gates;;;;;;;;;;;;;x
train_gift_Crescent_Moon_1_decision;Learn Crescent Moon I;;;;;;;;;;;;;x
train_gift_Crescent_Moon_2_decision;Learn Crescent Moon II;;;;;;;;;;;;;x
train_gift_Crescent_Moon_3_decision;Learn Crescent Moon III;;;;;;;;;;;;;x
train_gift_Crescent_Moon_4_decision;Learn Crescent Moon IV;;;;;;;;;;;;;x
train_gift_Crescent_Moon_5_decision;Learn Crescent Moon V;;;;;;;;;;;;;x
train_gift_Crescent_Moon_1_decision_desc;Two-World Eyes;;;;;;;;;;;;;x
train_gift_Crescent_Moon_2_decision_desc;Two-World Eyes, Read Spirit;;;;;;;;;;;;;x
train_gift_Crescent_Moon_3_decision_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak;;;;;;;;;;;;;x
train_gift_Crescent_Moon_4_decision_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak, Between the Weave;;;;;;;;;;;;;x
train_gift_Crescent_Moon_5_decision_desc;Two-World Eyes, Read Spirit, Gauntlet Cloak, Between the Weave, Crash the Gates;;;;;;;;;;;;;x
gift_Cunning_1;Cunning I;;;;;;;;;;;;;x
