#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


##Decisions
steal_artifact;Steal Artifact;;;;;;;;;;;;;x
steal_artifact_desc;You attempt to steal one of [Root.GetTitledName]'s artifacts;;;;;;;;;;;;;x
steal_artifact_third_party;Artifact Requirements;;;;;;;;;;;;;x
steal_artifact_allow3; NOT be a Hermatic ingredient;;;;;;;;;;;;;x
steal_artifact_active;[From.GetTitledName] Must NOT already be trying to steal an artifact;;;;;;;;;;;;;x
steal_artifact_cd;[From.GetTitledName] Must NOT have attempted to steal an artifact in the past five years;;;;;;;;;;;;;x
seize_artifact;Seize Artifact;;;;;;;;;;;;;x
seize_artifact_desc;Forcefully take one of [Root.GetBestName]'s equipped artifacts.;;;;;;;;;;;;;x
seize_artifact_allow;[Root.GetBestName] must be your prisoner;;;;;;;;;;;;;x
seize_artifact_effect;Transfers the Artifact to your treasury;;;;;;;;;;;;;x
seize_artifact_effect2;Your vassals will be displeased with your actions;;;;;;;;;;;;;x
seize_artifact_effect3;[Root.GetBestName] and his dynasty will be outraged;;;;;;;;;;;;;x
##Events

##tooltip infos
Success_diplomacy;Success depends on your diplomatic abilities.;;;;;;;;;;;;;x
Success_martial;Success depends on your physical strength.;;;;;;;;;;;;;x
Success_stewardship;Success depends on your administrative capabilities.;;;;;;;;;;;;;x
Success_intrigue;Success depends on your finesse.;;;;;;;;;;;;;x
Success_learning;Success depends on your scholary knowledge.;;;;;;;;;;;;;x
Success_diplomacy_intrigue;Success depends on your diplomatic abilities and finesse.;;;;;;;;;;;;;x
Success_stewardship_learning;Success depends on your administrative capabilities and scholary knowledge.;;;;;;;;;;;;;x
Success_alchemy;Success depends on your skill with Alchemy and scholary knowledge.;;;;;;;;;;;;;x
Success_seduction;Success depends on your attractiveness and diplomatic abilities.;;;;;;;;;;;;;x
Success_everything;Success depends on a little bit of everything.;;;;;;;;;;;;;x
Success_split_up;Success depends slightly on your administrative capabilities and scholary knowledge, and heavily on your accomplices'.;;;;;;;;;;;;;x
Success_magic;Success depends on your knowledge of the arcane and scholary knowledge.;;;;;;;;;;;;;x
Success_audience;Success depends on your diplomatic abilities and your opponent's personality.;;;;;;;;;;;;;x
EVTSuccess;success;;;;;;;;;;;;;x
EVTFail;failure;;;;;;;;;;;;;x
EVTEscape;successfully escaping;;;;;;;;;;;;;x
EVTsharedfate;Your accomplice shares your fate;;;;;;;;;;;;;x




EVTDESAaao.002;Who shall be your accomplice? You will begin once preparations are completed.;;;;;;;;;;;;;x
EVTOPTAaao.002;[Root.job_marshal.GetTitledFirstName], my marshal;;;;;;;;;;;;;x
EVTOPTBaao.002;[Root.job_spymaster.GetTitledFirstName], my spymaster;;;;;;;;;;;;;x
EVTOPTCaao.002;My lover;;;;;;;;;;;;;x
EVTOPTDaao.002;My friend;;;;;;;;;;;;;x
EVTOPTEaao.002;[Root.Heir.GetTitledFirstName], my heir;;;;;;;;;;;;;x
EVTOPTFaao.002;I've changed my mind.;;;;;;;;;;;;;x
EVTDESAaao.003;You have arrived at [FromFromFrom.GetTitledName]'s capital, as expected it's heavily guarded. There's a group of guards at the main door, a servant's entrance at the back, and a window near the stables.;;;;;;;;;;;;;x
EVTOPTAaao.003;Force my way inside;;;;;;;;;;;;;x
EVTOPTBaao.003;Sneak in through the window;;;;;;;;;;;;;x
EVTOPTCaao.003;Convince some servants to let me in;;;;;;;;;;;;;x
EVTDESAaao.004;Failure! The guards quickly start surrounding you.;;;;;;;;;;;;;x
EVTOPTAaao.004;Run away!;;;;;;;;;;;;;x
EVTOPTBaao.004;Beg for forgiveness.;;;;;;;;;;;;;x
EVTOPTCaao.004;Fight my way out!;;;;;;;;;;;;;x
EVTDESAaao.005;You've managed to evade most patrols until you come up outside the treasury. Two bored guards stand between you and your prize.;;;;;;;;;;;;;x
EVTOPTAaao.005;Rush them before they raise the alarm;;;;;;;;;;;;;x
EVTOPTBaao.005;Pose as a servant and give them poisoned drinks.;;;;;;;;;;;;;x
EVTOPTCaao.005;Use your hermatic knowledge to create a noxious gas.;;;;;;;;;;;;;x
EVTOPTDaao.005;One of us will seduce them.;;;;;;;;;;;;;x
EVTDESAaao.006;Failure! You weren't as crafty as you thought, the guards draw their swords and approach you!;;;;;;;;;;;;;x
EVTOPTAaao.006;Fight my way out!;;;;;;;;;;;;;x
EVTOPTBaao.006;Hopefully money will sway their minds.;;;;;;;;;;;;;x
EVTOPTCaao.006;Quick, out the window!;;;;;;;;;;;;;x
EVTDESAaao.007;Now that you have dealt with the guards, you're free to search the treasury for your target. Time is short and the treasury is filled with documents, jewels, and many miscellaneous items.;;;;;;;;;;;;;x
EVTOPTAaao.007;Search carefully for the item;;;;;;;;;;;;;x
EVTOPTBaao.007;Search franticly making a lot of noise;;;;;;;;;;;;;x
EVTOPTCaao.007;Split up to cover more ground;;;;;;;;;;;;;x
EVTOPTDaao.007;Time to get unconventional!;;;;;;;;;;;;;x
EVTDESAaao.008;Oops, you've taken too long and some guards found you.;;;;;;;;;;;;;x
EVTOPTAaao.008;Surrender and hope for the best;;;;;;;;;;;;;x
EVTOPTBaao.008;Fight your way out, but theres a lot of them;;;;;;;;;;;;;x
EVTOPTCaao.008;Demand an audience with their liege;;;;;;;;;;;;;x
levy_agreement;you come to a levy transfer agreement;;;;;;;;;;;;;x
tax_agreement;you come to a tax transfer agreement;;;;;;;;;;;;;x
no_mercy;you get executed;;;;;;;;;;;;;x
EVTDESAaao.009;After making your escape, you finally feel relieved. You've managed to steal one fine artifact for your collection and your foe has no idea.;;;;;;;;;;;;;x
EVTOPTAaao.009;That went better than I thought;;;;;;;;;;;;;x
EVTDESAaao.010;You've failed in your heist, and now suffer the shame.;;;;;;;;;;;;;x
EVTOPTAaao.010;It could have been worse I suppose;;;;;;;;;;;;;x
EVTDESAaao.011;Your guard storms into your court, "My liege, I have failed you! One of your artifacts has gone missing!". [From.GetTitledName] has made off with one of your artifacts.;;;;;;;;;;;;;x
EVTOPTAaao.011;This is treason!;;;;;;;;;;;;;x
EVTOPTBaao.011;Damn [From.GetHerHim];;;;;;;;;;;;;x
EVTOPTCaao.011;Curse [From.GetHerHim] and his liege!;;;;;;;;;;;;;x
EVTOPTDaao.011;Why doesn't my liege do something?!;;;;;;;;;;;;;x
EVTOPTEaao.011;All the realm shall know!;;;;;;;;;;;;;x
EVTDESAaao.012;Your guards have caught [From.GetTitledName] trying to steal one of your artifacts!;;;;;;;;;;;;;x
EVTOPTAaao.012;To the dungeons with the traitor!;;;;;;;;;;;;;x
EVTOPTBaao.012;To the dungeons with [From.GetHerHim]!;;;;;;;;;;;;;x

##modifiers
active_heist;active heist;;;;;;;;;;;;;x
active_heist_desc;if you see this please report it on the Artifact Aquisition and Overhaul mod page.;;;;;;;;;;;;;x
heist_cd;heist cd;;;;;;;;;;;;;x
heist_cd_desc;if you see this please report it on the Artifact Aquisition and Overhaul mod page.;;;;;;;;;;;;;x
pathetic_bribe;Pathetic;;;;;;;;;;;;;x
levy_agreement_pos;Levy Transfer;;;;;;;;;;;;;x
levy_agreement_neg;Levy Transfer;;;;;;;;;;;;;x
tax_agreement_pos;Tax Transfer;;;;;;;;;;;;;x
tax_agreement_neg;Tax Transfer;;;;;;;;;;;;;x

##opinions
opinion_stole_artifact;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_my_vassal;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_other_vassal;Vassal Stole my Artifact;;;;;;;;;;;;x
opinion_seized_artifact_tyranny;Seized a Prisoner's Artifact;;;;;;;;;;;;x
seized_artifact;Forcefully Took my Artifact;;;;;;;;;;;;x
seized_artifact_inheritance;Forcefully Taken my Predecessor's Artifact;;;;;;;;;;;;x
seized_artifact_dynastic;Forcefully Taken one of my Dynasty's Artifacts;;;;;;;;;;;;x



