# CK2CULTURE;EU4CULTURE;Custom Defined;Comment

# North Germanic

norse;norse;1;Norse
swedish;swedish;0;Swedish
norwegian;norwegian;0;Norwegian
danish;danish;0;Danish

# Central Germanic

german;german;1;German

# West Germanic

english;english;0;English
saxon;anglo_saxon;1;Anglo-Saxon
dutch;dutch;0;Dutch

# Latin

frankish;cosmopolitan_french;0;French
norman;normand;0;Norman
italian;italian;1;Italian
occitan;occitain;0;Occitan
roman;roman;1;Roman

# Iberian

basque;basque;0;Basque
castillan;castillian;0;Castillan
catalan;catalan;0;Catalan
portuguese;portugese;0;Portuguese

# Byzantine

armenian;armenian;0;Armenian
greek;greek;0;Greek
alan;alan;1;Alan
georgian;georgian;0;Georgian

# Celtic

irish;irish;0;Irish
scottish;scottish;0;Scottish
welsh;welsh;0;Welsh
breton;breton;0;Breton

# Finno-Ugric

finnish;finnish;0;Finnish
lappish;lappish;1;Lappish
ugricbaltic;estonian;0;Estonian
komi;komi;1;Komi
samoyed;samoyed;1;Samoyed
mordvin;mordvin;1;Mordvin

# Baltic

lettigallish;latvian;0;Latvian
lithuanian;lithuanian;0;Lithuanian
prussian;old_prussian;0;Old Prussian

# Altaic

turkish;turkish;0;Turkish
pecheneg;pecheneg;1;Pecheneg
cuman;cuman;1;Cuman
khazar;khazar;1;Khazar
bolghar;bolghar;1;Bolghar
avar;avar;1;Avar
mongol;mongol;0;Mongol
tatar;tartar;0;Tartar

# Arabic

bedouin_arabic;bedouin_arabic;0;Bedouin Arabic
maghreb_arabic;berber;0;Berber
levantine_arabic;levantine_arabic;1;Levantine
egyptian_arabic;egyptian_arabic;1;Egyptian
andalusian_arabic;andalucian;0;Andalusian Arabic

# East Slavic

russian;russian;0;Russian

# West Slavic

pommeranian;pommeranian;0;Pommeranian
bohemian;czech;0;Bohemian
polish;polish;0;Polish

# South Slavic

croatian;croatian;0;Croatian
serbian;serbian;0;Serbian
romanian;romanian;0;Romanian
bulgarian;bulgarian;0;Bulgarian
albanian;albanian;0;Albanian

# Magyar

hungarian;hungarian;0;Hungarian

# Iranian

persian;persian;0;Persian
kurdish;kurdish;0;Kurdish

# East African

ethiopian;ethiopian;0;Ethiopian

# West African

manden;mali;0;Manden

# Mesoamerican

nahuatl;aztek;0;Aztec
