# EU4PROVINCE;EU4TAG;Comments
851;AZT;
849;AZT;
850;AZT;
848;AZT;
847;AZT;
844;AZT;
845;AZT;
846;AZT;
842;AZT;
843;AZT;
841;AZT;
840;AZT;
839;AZT;
838;AZT;
837;AZT;
836;AZT;
835;AZT;
826;AZT;
827;AZT;
828;AZT;
823;AZT;
824;AZT;
832;AZT;
829;AZT;
830;AZT;
859;AZT;
860;AZT;
861;AZT;
883;AZT;
884;AZT;
864;AZT;
862;AZT;
863;AZT;
866;AZT;
865;AZT;
882;AZT;
883;AZT;
888;AZT;
893;AZT;
921;AZT;
922;AZT;
484;AZT;
485;AZT;
486;AZT;
483;AZT;
481;AZT;
923;AZT;
924;AZT;
930;AZT;
929;AZT;
932;AZT;
933;AZT;
894;AZT;
887;AZT;
886;AZT;
885;AZT;
892;AZT;
895;AZT;
891;AZT;
877;AZT;
879;AZT;
881;AZT;
854;AZT;
855;AZT;
856;AZT;
858;AZT;
857;AZT;
853;AZT;
852;AZT;
815;INC;
817;INC;
818;INC;
819;INC;
820;INC;
821;INC;
822;INC;
825;INC;
833;INC;
803;INC;
802;INC;
801;INC;
800;INC;
798;INC;
797;INC;
796;INC;
795;INC;
793;INC;
794;INC;
791;INC;
799;INC;
790;INC;
792;INC;
788;INC;
787;INC;
785;INC;
784;INC;
783;INC;
834;INC;
789;INC;
779;INC;
786;INC;
780;INC;
781;INC;
782;INC;
812;INC;
816;INC;
813;INC;
814;INC;
811;INC;
809;INC;
810;INC;
808;INC;
807;INC;
804;INC;
805;INC;
806;INC;
926;CRE;
927;CRE;
482;CRE;
928;CRE;
487;MAY;
488;MAY;
489;MAY;
490;MAY;
492;MAY;
493;MAY;
1881;MAY;
494;MAY;
495;MAY;
496;MAY;
497;MAY;
491;MAY;
