EVTNAME1000000;The Janissary Corps;Le Corps des Janissaires;Die Janitscharen-Korps;;El Cuerpo de Jenízaros;;;;;;;;;x
EVTDESC1000000;After reading about the Byzantine Emperor's Varangian Guard in an old document, one of your courtiers suggests that you should make your own household guard using the devshirme to your advantage.;Après avoir lu la Garde Varangian de l'empereur byzantin dans un document ancien, un de vos courtisans suggère que vous devriez faire votre propre garde des ménages utilisant le devchirmé à votre avantage.;Nach der Lektüre über die byzantinischen Kaisers Warägergarde in einem alten Dokument schlägt eine Ihrer Höflinge, dass Sie Ihre eigene Leibgarde mit dem devshirme zu Ihrem Vorteil zu machen.;;Después de leer acerca Guardia Varangian del emperador bizantino en un documento antiguo, uno de sus cortesanos sugiere que usted debe hacer su propia guardia personal con el devshirme a su ventaja.;;;;;;;;;x
EVTOPTA1000000;Good idea, the Janissaries would be ideal guards!;Bonne idée, les janissaires seraient gardes idéales!;Gute Idee, würde die Janitscharen ideal Wachen sein!;;Buena idea, los jenízaros serían guardias ideales!;;;;;;;;;x
EVTOPTB1000000;I can take care of myself.;Je peux prendre soin de moi.;Ich kann auf mich selbst aufpassen.;;Puedo cuidar de mí misma.;;;;;;;;;x
EVTDESC1000001;I have come of age, and have a legitimate claim on the throne, therefore, as tradition stipulates, I qualify to be recognised as an Ætheling.;Je suis venu de l'âge, et ont un droit légitime sur le trône, par conséquent, que la tradition stipule, je suis admissible à être reconnu comme un Ætheling.;Ich habe den Kinderschuhen entwachsen und haben einen legitimen Anspruch auf den Thron, also, wie Tradition sieht, ich qualifizieren als Aetheling erkannt werden.;;He llegado a la edad, y tiene un reclamo legítimo en el trono, por lo tanto, como la tradición estipula que los requisitos para ser reconocido como un Ætheling.;;;;;;;;;x
EVTOPTA1000001;Excellent!;Excellent!;Exzellent!;;Excelente!;;;;;;;;;x
EVTOPTB1000001;Or at least I would, were it not for the unjust laws of the land barring women from inheriting.;Ou au moins je serais, s'il n'y avait pas les lois injustes de la terre interdisant aux femmes d'hériter.;Oder zumindest würde ich, wenn es nicht für die ungerechten Gesetze des Landes abgesehen von Frauen erben.;;O al menos yo, si no fuera por las leyes injustas de la tierra salvo a las mujeres heredar.;;;;;;;;;x
EVTDESC1000002;The Witan appear to have found some aspect of me undesirable, for they have stripped me of my rank as Ætheling.;Le Witan semblent avoir trouvé un certain aspect de moi indésirable, car ils m'ont dépouillé de mon rang comme Ætheling.;Die Witan scheinen gefunden irgendeinen Aspekt von mir unerwünscht, denn sie haben mich von meinen Rang als Aetheling abgezogen.;;El Witan parece haber encontrado algún aspecto de mí indeseable, porque ellos me han despojado de mi rango como Ætheling.;;;;;;;;;x
EVTOPTA1000002;They'll regret this!;Ils regrettent!;Sie werden bereuen!;;Ellos lamentan esto!;;;;;;;;;x
EVTDESC10000002;Now that I have ascended to the throne, I am no longer an Ætheling.;Maintenant que je suis monté sur le trône, je ne suis plus un Ætheling.;Nun, da ich den Thron bestieg, bin ich nicht mehr ein Aetheling.;;Ahora que me he subido al trono, ya no soy un Ætheling.;;;;;;;;;x
EVTOPTA10000002;A small price to pay.;Un petit prix à payer.;Ein kleiner Preis zu zahlen.;;Un pequeño precio a pagar.;;;;;;;;;x
EVTDESC_TOG_3101;[From.GetFirstName], the great ruler of the Greeks, is distraught over the poor mettle of [From.GetHerHis] countrymen. Knowing well our skill in battle, [From.GetSheHe] has decided to form a bodyguard consisting solely of our warriors.\n\nThose who serve [From.GetHerHim] in the great city of Constantinople are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for Greece to pick up [From.GetHerHis] banner.;[From.GetFirstName], le grand souverain des Grecs, est angoissé par le peu de courage de ses compatriotes. Connaissant bien notre aptitude au combat, [From.GetSheHe] a décidé de composer son équipe de gardes du corps uniquement de nos guerriers.\n\nCeux qui [From.GetHerHim] servent dans la grande cité de Constantinople sont généreusement récompensés et, aujourd'hui encore, les jeunes hommes avides de richesse et d'aventure quittent pour la Grèce afin de [From.GetHerHis] servir.;[From.GetFirstName], der große herrscher der Griechen, ist bestürzt über den lausigen Eifer [From.GetHerHis] Landsmänner. Euren Kampfesmut kennend, hat [From.GetSheHe] beschlossen, eine Leibwache nur aus unserer Kriegern aufzustellen.\n\nWer [From.GetHerHim] in Konstantinopel dient, wird reich belohnt und viele Eurer jungen Männer, erpicht auf Gold und Abenteuer, sind nach Griechenland abgereist, um in [From.GetHerHis] Dienst zu treten.;;[From.GetFirstName], el gran soberano de los Griegos, está perturbado por el poco ánimo de [From.GetHerHis] compatriotas. Conociendo bien nuestra habilidad en la batalla, ha decidido formar una guardia que consiste únicamente de nuestros guerreros.\n\nAquellos que [From.GetHerHim] sirven en la gran ciudad de Constantinopla son generosamente recompensados, e incluso ahora muchos de nuestros jóvenes, ávidos de riquezas y aventura, han partido hacia Grecia para levantar [From.GetHerHis] estandarte.;;;;;;;;;x
