action_study_technology;Study Influence;Étudier une technologie;Technologie studieren;;Estudiar tecnología;;;;;;;;;x
action_study_technology_desc;Send you [GetSpymasterName] to study the webs of influence in a county, increasing the chance of spreading influence in your capital.;Demandez à votre Maître-Espion d’étudier les prouesses technologiques d’un comté afin d’augmenter vos chances d’en faire profiter votre capitale.;Entsendet Euren Agentenführer, um die technologischen Wunder in einer Grafschaft zu studieren. Dies erhöht die Chance, dass sie sich bis zu Eurer Hauptstadt ausbreiten.;;Envía a tu jefe de espías para estudiar los portentos tecnológicos de un condado, lo que aumenta la probabilidad de llevarlas a tu capital.;;;;;;;;;x
action_advance_eco_tech;Influence mortal society;Rechercher des technologies économiques;Wirtschaftstechnologie erforschen;;Investigación Económica;;;;;;;;;x
action_advance_eco_tech_desc;Have your [GetTreasurerName] influence mortal society in a county.;Demandez à votre Intendant de rechercher des technologies économiques dans un comté.;Lasst Euren Verwalter die Wirtschaftsfortschritte in einer Grafschaft erforschen.;;Haz que tu mayordomo investigue los avances económicos de un condado.;;;;;;;;;x
action_advance_mil_tech;Influence the Jyhad;Rechercher des technologies militaires;Militärtechnologie erforschen;;Investigación Militar;;;;;;;;;x
action_advance_mil_tech_desc;Have your [GetMarshalName] influence the Jyhad by negotiating with the criminal underworld, smugglers, darekned mortals and supernaturals.;Demandez à votre Maréchal de rechercher des technologies militaires dans une province.;Lasst Euren Marschall Militärfortschritte in einer Provinz erforschen.;;Haz que tu mariscal estudie los avances militares en una provincia.;;;;;;;;;x
action_advance_cul_tech;Influence supernatural society;Rechercher des technologies culturelles;Kulturtechnologie erforschen;;Investigación Cultural;;;;;;;;;x
action_advance_cul_tech_desc;Send your [GetLordSpiritualName] to influence the society of supernaturals in a province.;Envoyez le Chapelain de votre Cour propager le savoir dans une province.;Entsendet Euren Hof-Geistlichen, um an der Verbesserung Eurer Kultur in einer Provinz zu arbeiten.;;Enviar al capellán de tu corte a trabajar mejorando la Cultura en una provincia.;;;;;;;;;x
TECHNOLOGY_MENU;Influence;Technologie;Technologie;;Tecnología;Tecnologia;;;;;;;;x
LEDGER_TECHNOLOGY;Influence;Technologie;Technologie;Technologia;Tecnología;Tecnologia;Technológia;Technologie;;;;;;x
TECH_NAVAL;Smuggling;Construction navale;Schiffsbau;;Construcción Naval;;;;;;;;;x
TECH_NAVAL_DESC;More influence over smugglers, the criminals who specialize in clandestine transport of goods (and bodies);De meilleures techniques de construction navale nous permettront de réunir une plus grosse flotte;Bessere Schiffsbautechniken erlauben den Bau einer größeren Flotte;;Mejores técnicas de construcción naval nos permiten tener una flota más grande;;;;;;;;;x
TECH_TRADE_PRACTICES;Criminal Underworld;Pratiques commerciales;Handels-Praktiken;;Prácticas Comerciales;;;;;;;;;x
TECH_TRADE_PRACTICES_DESC;Influence over the various criminal denziens: thieves, fences, street gangs, bandits, etc...;De meilleures pratiques commerciales engendrent plus d’argent pour les républiques ainsi que pour les cités qui participent à l’échange.;Bessere Handels-Praktiken geben Republiken und Städten mehr Geld im Handel;;Mejores prácticas comerciales conducen a más dinero para las repúblicas así como las ciudades que participan en el comercio;;;;;;;;;x
TECH_CONSTRUCTION;Masons;;;;;;;;;;;;;x
TECH_CONSTRUCTION_DESC;More influence over the guilds of masons, to better construct and secure havens;De meilleures techniques de construction diminuent le coût des bâtiments et accélèrent leur construction ;Bessere Bautechniken machen die Konstruktion billiger und schneller;;Mejores técnicas de construcción hacen la construcción más barata y más rápida.;;;;;;;;;x
TECH_CULTURE_FLEX;Elysium;Tolérance;Toleranz;;Tolerancia;;;;;;;;;x
